Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Højbjerg,Tottenham Hotspur,Tottenham Hotspur,"LDMF, RDMF, LCMF",28,45000000,2025-06-30,20,1028,0,0.24,0,0.63,14.1,53.42,Denmark,"Denmark, France",right,187,84,no,9.98,6.13,61.43,0.88,50,1.14,1.81,0.44,5.08,8.06,1.05,3,0.26,0,0,1.14,0,0,0,0.02,0,0,9,0.79,33.33,0,0,0.79,0,0.26,0,0.53,0,0,1.31,53.33,4.64,43.4,0.79,0.7,0.44,54.89,0.35,0.88,67.85,89.55,23.29,82.71,7.97,96.7,22.24,94.49,62.07,91.96,4.99,73.68,17.45,32.26,0.06,0.26,0.09,0,0.44,40,0.35,10.77,86.99,1.93,50,0.7,62.5,1.05,0,10.07,81.74,0,,0,,0,0,0,0,,,0.88,,,0.09,0.09,100,0.09,0,0
A. Mac Allister,Liverpool,Liverpool,DMF,25,42000000,2025-06-30,16,1320,1,0.21,1,0.72,20.39,55.18,Argentina,"Argentina, Italy",right,174,72,no,11.45,10.57,60,1.64,37.5,0.27,0.43,0.27,4.84,7.55,1.64,5,0.34,1,0.07,1.43,0.07,1,0.07,0.01,0,0,9,0.61,33.33,11.111,0.07,0.34,20,0.07,0,0.27,25,0.07,1.36,50,5.73,53.57,0.14,1.23,0.07,43.23,0,1.57,58.77,89.44,17.25,79.84,9.82,95.83,20.93,92.83,55.23,91.6,3.2,59.57,16.47,31.14,0.05,0.61,0.07,0.07,0.82,58.33,0.2,8.86,81.54,1.3,57.89,1.23,27.78,0.82,0.07,7.98,80.34,0,,0,,0,0,0,0,,,1.43,,,0.07,0,0,0.07,0,0
A. Onana,Everton,Everton,"LCMF, RCMF, DMF",22,42000000,2027-06-30,17,1568,1,1.81,0,0.68,16.42,63.29,Senegal,"Senegal, Belgium",right,192,88,no,8.78,6.83,63.87,3.62,65.08,0.86,0.94,0.17,3.56,3.9,1.61,2,0.11,0,0,1.21,0.06,1,0.06,0.1,1,0.06,18,1.03,22.22,5.556,0,0.17,33.33,0.17,33.33,0,0,0,1.03,83.33,3.79,68.18,1.03,0.92,0.06,23.71,0.4,1.78,35.87,85.76,10.79,72.34,7.58,96.21,11.94,87.5,32.77,88.09,2.93,62.75,18.45,41.19,0.04,0.34,0,0,0.46,12.5,0.17,4.99,72.41,1.49,46.15,0.52,11.11,0.63,0.11,5.74,67,0,,0,,0,0,0,0,,,1.09,,,0,0,0,0,0,0
D. Szoboszlai,Liverpool,Liverpool,"RCMF, LCMF",23,40000000,2026-06-30,20,1783,2,2.19,2,3.73,16.96,50.89,Hungary,Hungary,right,186,74,no,7.92,7.92,59.24,1.46,41.38,0.05,0.08,0.1,3.18,5.07,1.11,1,0.05,0,0,2.98,0.1,2,0.1,0.11,0,0,37,1.87,24.32,5.405,0.1,2.22,31.82,0.45,55.56,1.72,26.47,0.25,2.42,68.75,5.25,47.12,1.72,2.57,0.91,39.52,1.01,1.06,51.99,86.31,11.91,73.31,12.87,97.25,17.36,86.05,46.74,90.39,3.08,62.3,16.82,34.61,0.19,1.31,0.05,0.05,0.56,27.27,0.4,4.54,75.56,3.33,46.97,0.81,37.5,1.46,0.61,6.16,72.13,0,,0,,0,0,0,0,,,0.71,,,0.56,0.15,0,1.67,0,0
R. Bentancur,Tottenham Hotspur,Tottenham Hotspur,"DMF, RCMF, RW",26,40000000,2026-06-30,6,287,1,0.91,0,0.07,19.76,46.03,Uruguay,Uruguay,right,187,73,no,6.59,5.64,61.11,3.14,40,0,0,0.31,3.14,5.17,0.31,2,0.63,0,0,2.51,0.31,1,0.31,0.29,0,0,5,1.57,40,20,0,0.94,0,0.31,0,0.63,0,0.31,2.51,62.5,8.78,35.71,1.25,0.63,0.31,39.2,0,1.25,49.23,81.53,14.43,58.7,5.33,94.12,18.82,90,45.47,85.52,2.82,44.44,14.73,13.9,0.02,0.31,0,0,1.57,20,0.94,5.96,63.16,2.82,33.33,1.88,33.33,0.63,0,5.96,63.16,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Kovačić,Manchester City,Manchester City,"LDMF, RDMF",29,40000000,2024-06-30,15,958,0,1.03,0,0.41,13.62,49.66,Croatia,Croatia,right,177,80,no,5.82,4.51,62.5,0.94,30,0.94,1.59,0,2.07,3.49,1.03,3,0.28,0,0,2.07,0,0,0,0.1,0,0,12,1.13,25,0,0,0,0,0,0,0,0,0,2.54,55.56,6.29,40.3,0.66,1.88,0.56,60.88,0.28,0.85,71.49,93.3,14.66,79.49,13.81,98.64,27.9,96.97,70.37,94.13,1.13,41.67,14.82,21.95,0.04,0.66,0.19,0,1.13,33.33,0.19,6.76,87.5,1.88,55,1.22,46.15,1.22,0,5.35,85.96,0,,0,,0,0,0,0,,,1.13,,,0,0,0,0.09,0,0
E. Smith Rowe,Arsenal,Arsenal,"LCMF, RCMF",23,38000000,2026-06-30,7,181,0,0.93,0,0.05,12.93,34.62,England,England,right,182,72,no,4.48,4.48,44.44,2.49,60,0,0,0.5,2.49,4.29,0.99,0,0,0,0,1.99,0,0,0,0.46,0,0,5,2.49,80,0,0,0,0,0,0,0,0,0,0.5,0,2.98,0,2.98,0.99,0,29.83,0.5,0,38.29,94.81,11.93,95.83,10.94,95.45,9.94,100,37.79,94.74,0.5,100,14.25,5.18,0.02,0.5,0,0,0.5,0,0,5.97,100,2.49,100,0.5,0,0.99,0,3.48,100,0,,0,,0,0,0,0,,,0.5,,,0.5,0,0,0,0,0
Joelinton,Newcastle United,Newcastle United,LCMF,27,38000000,2025-06-30,16,1266,2,2.17,0,1.33,25.88,40.66,Brazil,Brazil,right,186,81,no,7.82,6.68,56.38,3.63,31.37,0.21,0.29,0.43,3.84,5.26,1.71,5,0.36,0,0,2.63,0.14,2,0.14,0.15,0,0,14,1,42.86,14.286,0,0.36,80,0.36,80,0,0,0,3.63,49.02,11.37,34.38,2.06,1.56,0.28,22.82,1,1.42,35.05,86.21,8.46,73.95,8.03,94.69,9.24,87.69,33.91,86.58,0.78,72.73,14.61,19.07,0.09,0.78,0.14,0,0.28,50,0.36,3.27,78.26,1,64.29,0.36,60,0.64,0.21,3.2,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Ward-Prowse,West Ham United,West Ham United,"LCMF, AMF, RDMF",29,38000000,2026-06-30,20,1975,4,4.41,5,4.87,10.48,56.52,England,England,right,177,66,no,7.56,4.97,69.72,1.73,42.11,0.14,0.14,0.23,3.96,4.11,0.77,4,0.18,0,0,1.32,0.18,3,0.14,0.2,1,0.05,26,1.18,46.15,15.385,0.23,1.14,32,0.68,33.33,0.41,22.22,0.18,0.46,80,1.96,44.19,0.91,0.32,0.18,27.16,0.46,0.5,38.64,89.74,11.03,83.88,6.61,95.17,13.58,93.29,35.54,93.46,2.01,56.82,16.35,36.37,0.22,1.64,0.05,0,0.14,33.33,0.18,4.74,80.77,1.32,41.38,0.23,20,0.23,0.36,4.37,72.92,0,,0,,0,0,0,0,,,0.27,,,1.91,0.36,37.5,3.74,1,100
I. Sangaré,Nottingham Forest,Nottingham Forest,"RCMF, LDMF",26,35000000,2027-06-30,11,890,0,0.37,0,0.18,19.31,46.6,Côte d'Ivoire,Côte d'Ivoire,right,191,77,no,10.31,8.39,55.42,3.03,30,0.91,0.93,0.51,4.75,4.86,1.62,5,0.51,0,0,0.4,0,0,0,0.04,0,0,5,0.51,0,0,0,0.3,33.33,0,0,0.3,33.33,0,0.61,33.33,4.55,37.78,0.91,0.4,0.2,21.44,0.2,0.71,32.56,84.78,9.81,70.1,6.07,96.67,10.01,89.9,29.53,86.99,2.73,66.67,16.98,33.46,0.02,0.4,0,0.1,0.51,20,0.2,3.84,76.32,1.21,50,0.61,16.67,0.51,0.1,3.84,65.79,0,,0,,0,0,0,0,,,0.2,,,0,0,0,0,0,0
