Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Holmes,Reading,Reading,"RCB, LCB",23,5000000,2025-06-30,12,1017,0,0.44,0,0,13.1,64.86,England,England,right,189,82,yes,10.53,3.63,75.61,6.11,65.22,0.62,0.83,0.88,7.17,9.57,0.71,2,0.18,0,0,0.18,0,0,0,0.04,0,0,2,0.18,0,0,0,0.27,33.33,0,0,0.27,33.33,0.09,0.09,100,0.35,75,0.53,0.27,0.27,33.27,0.44,0.09,49.65,86.45,19.29,72.94,2.57,96.55,24.16,95.24,42.3,93.72,7.08,45,23,40.59,0,0,0,0,0,0,0,6.55,55.41,0.8,22.22,0.35,0,0.18,0.09,9.03,67.65,0,,0,,0,0,0,0,,,1.68,,,0,0,0,0,0,0
R. Edwards,Peterborough United,Peterborough United,"LCB, RCB",20,3000000,2025-06-30,28,2791,1,1.02,1,0,13.67,59.67,England,England,right,180,76,no,7.93,4.68,73.1,4.1,55.91,0.26,0.4,0.68,4.26,6.52,0.45,2,0.06,0,0,0.48,0.03,1,0.03,0.03,1,0.03,8,0.26,50,12.5,0.03,0.06,100,0,0,0.06,100,0,0.42,61.54,1.84,45.61,0.23,1.93,0.64,55.79,0.1,0.45,77.26,92.49,24.67,81.96,3.32,99.03,42.18,98.24,72.52,95.11,4.68,51.72,20.87,38.58,0,0.03,0,0.06,0.06,50,0.03,5.74,73.03,0.81,40,0.48,33.33,0.19,0.06,8.9,66.67,0,,0,,0,0,0,0,,,2.35,,,0,0,0,0,0,0
T. Mcintyre,Reading,Reading,"LCB, LB",25,1800000,2024-06-30,10,458,0,0.02,0,0,15.52,73.42,England,"England, Scotland",left,185,73,no,8.65,4.72,70.83,6.88,82.86,0.39,0.64,0.39,4.91,7.98,0.79,2,0.39,0,0,0.59,0,0,0,0,0,0,1,0.2,0,0,0,0.39,50,0.39,50,0,0,0.2,0.39,100,1.38,71.43,0.2,2.95,0.2,38.32,1.18,1.18,59.74,89.14,18.47,71.28,5.7,100,29.48,98,52.86,93.68,6.48,54.55,17.49,34.78,0,0,0,0,0.2,0,0,4.91,56,0.79,75,0.2,0,0.39,0.2,9.63,73.47,0,,0,,0,0,0,0,,,1.97,,,0,0,0,0,0,0
M. Ekpiteta,Blackpool,Blackpool,CB,28,1500000,2024-06-30,15,1242,0,0.55,0,0,17.68,63.11,England,"England, Nigeria",right,193,84,no,10.07,5.94,76.83,6.01,65.06,0.29,0.42,1.09,5.22,7.53,0.51,1,0.07,0,0,0.07,0,0,0,0.04,0,0,3,0.22,0,0,0,0.07,0,0,0,0.07,0,0,0.22,33.33,1.74,37.5,0.72,0,0,42.75,0.22,0.8,60.29,89.42,17.75,71.02,3.04,92.86,34.93,98.34,52.97,93.84,7.25,58,21.34,42.49,0,0.07,0,0,0,0,0.07,5.72,59.49,0.29,50,0.43,66.67,0.29,0,7.68,63.21,0,,0,,0,0,0,0,,,2.46,,,0,0,0,0,0,0
C. Taylor,Bristol Rovers,Bristol Rovers,"RCB, CB",22,1200000,2025-06-30,22,2074,0,1.87,1,0.79,15.93,63.76,England,England,right,183,77,no,8.68,4.43,75.49,5.55,69.53,0.13,0.19,0.39,5.21,7.45,0.56,5,0.22,0,0,0.74,0,0,0,0.08,0,0,10,0.43,50,0,0.04,0.04,100,0,0,0.04,100,0,0.61,78.57,2.78,46.88,0.69,0.48,0.17,26.6,0.52,1.13,43.7,88.18,16.45,75.2,3.38,100,20.35,96.16,38.32,92.75,5.38,55.65,21.55,39.86,0.03,0.13,0,0,0.04,0,0.09,4.38,55.45,0.39,33.33,0.22,0,0.26,0,7.03,64.2,0,,0,,0,0,0,0,,,2.08,,,0,0,0,0,0,0
C. Connolly,Blackpool,Blackpool,"RCB, CB, LWB",26,1200000,2024-06-30,20,1461,0,1.55,0,0.19,19.1,55.81,England,England,right,183,70,no,8.07,5.79,63.83,7.15,62.93,0.06,0.09,0.25,4.31,6.44,1.48,6,0.37,0,0,0.99,0,0,0,0.1,0,0,9,0.55,22.22,0,0,1.29,52.38,0.68,54.55,0.62,50,0.18,0.37,33.33,2.46,25,0.74,1.17,0.18,27.17,1.05,0.92,39.43,81.72,14.54,66.53,5.91,95.83,14.41,90.6,31.36,90.18,6.84,48.65,22.44,39.99,0.01,0.06,0,0,0.18,33.33,0.06,7.39,60,1.6,50,0.68,45.45,0.25,0.68,8.13,76.52,0,,0,,0,0,0,0,,,1.54,,,0.18,0.12,50,0,0,0
E. Cashin,Derby County,Derby County,LCB,22,1200000,2024-06-30,28,2702,2,3.54,2,0.62,23.82,61.26,England,"England, Republic of Ireland",left,184,85,no,13.09,6.3,70.9,10.66,61.56,0.77,1.13,0.73,7.86,11.64,1,5,0.17,0,0,0.8,0.07,2,0.07,0.12,1,0.03,21,0.7,38.1,9.524,0.07,0.43,38.46,0.4,33.33,0.03,100,0.03,0.63,57.89,1.87,46.43,1.07,0.97,0.37,31.64,0.23,0.53,51.46,81.42,23.45,66.19,2.73,92.68,21.75,95.56,42.1,88.37,8.99,50.37,24.47,43.38,0.02,0.2,0,0,0,0,0.1,8.26,56.45,0.77,21.74,0.33,30,0.17,0.2,11.13,71.56,0,,0,,0,0,0,0,,,1.47,,,0,0,0,0,0,0
C. Nelson,Derby County,Derby County,"RCB, CB",30,1000000,,29,2902,2,3.41,0,0.79,19.01,64.76,England,England,right,183,74,no,8.71,5.15,77.71,7.32,65.68,0.09,0.14,0.68,4.62,6.79,0.78,1,0.03,0,0,0.43,0.06,2,0.06,0.11,2,0.06,19,0.59,31.58,10.526,0,0.22,14.29,0.03,0,0.19,16.67,0.03,0.4,53.85,1.46,40.43,0.87,0.78,0.16,26.55,0.4,0.47,42.98,83.12,19.1,71.92,2.42,96.15,18.17,93.69,37.4,88.64,5.37,47.4,22.3,38.65,0.02,0.22,0,0,0,0,0.06,5.06,59.51,0.9,24.14,0.25,37.5,0.12,0.03,8.56,67.75,0,,0,,0,0,0,0,,,1.61,,,0.03,0,0,0,0,0
M. Hector,Charlton Athletic,Charlton Athletic,RCB,31,900000,,24,2206,0,0.52,1,0.49,15.14,67.65,England,"England, Jamaica",right,193,82,no,10.12,6.16,74.83,3.55,68.97,0.33,0.48,0.73,5.18,7.59,0.57,5,0.2,0,0,0.41,0,0,0,0.02,0,0,5,0.2,20,0,0.04,0.29,42.86,0.04,0,0.24,50,0.04,0.37,55.56,1.26,45.16,0.24,0.37,0,33.62,0.2,0.24,53.12,82.18,22.32,66.73,1.71,95.24,26.15,93.6,42.51,90.79,10.32,47.83,25.56,43.35,0.02,0.2,0,0,0.04,100,0.08,8.12,55.78,1.06,46.15,0.86,28.57,0.33,0.08,11.75,70.49,0,,0,,0,0,0,0,,,1.35,,,0,0,0,0,0,0
R. Towler,Portsmouth,Portsmouth,LCB,21,900000,2026-06-30,4,193,0,0,0,0,13.52,44.83,England,England,left,187,77,no,3.73,3.26,28.57,4.2,44.44,0,0,0,2.8,4.86,2.33,1,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.47,0,0,0,0,0,0,1.4,66.67,0,1.4,0,39.17,0.93,0.47,53.63,79.13,23.78,64.71,1.87,100,24.25,88.46,41.04,95.45,12.12,26.92,17.92,20.01,0,0,0,0,0,0,0,11.66,36,0.47,0,0.93,50,0,0,7.93,82.35,0,,0,,0,0,0,0,,,0.93,,,0,0,0,0,0,0
J. Knight,Peterborough United,Peterborough United,RCB,26,900000,2024-06-30,26,2292,2,2.08,1,0.59,14.02,53.78,England,England,right,185,78,no,6.68,3.73,63.16,4.01,53.92,0.16,0.25,0.79,4.16,6.64,0.43,3,0.12,0,0,1.26,0.08,2,0.08,0.08,2,0.08,15,0.59,46.67,13.333,0.04,0.63,18.75,0.04,0,0.51,23.08,0.04,1.34,61.76,3.38,43.02,1.26,3.93,0.82,52.66,0.35,0.55,71.23,89.53,24.46,78.01,3.65,94.62,34.63,97.05,65.07,93.24,5.54,53.9,19.75,39.32,0.02,0.27,0,0,0.08,50,0.16,7.23,74.46,1.02,42.31,0.35,33.33,0.35,0.12,9.35,68.91,0,,0,,0,0,0,0,,,1.49,,,0,0,0,0,0,0
J. Williams,Barnsley,Barnsley,RCB,24,900000,2024-06-30,28,2835,0,0.5,2,0.77,17.05,53.26,England,England,right,179,75,no,10.16,6.51,71.71,4.57,47.22,0.16,0.21,0.57,5.33,7.18,0.44,3,0.1,0,0,1.14,0,0,0,0.02,0,0,11,0.35,9.09,0,0.06,1.21,21.05,0,0,1.17,21.62,0.1,1.3,63.41,3.65,39.13,0.41,1.84,0.67,35.75,0.44,0.48,52.73,81.4,23.84,71.64,5.87,93.51,16.57,90.04,42.86,89.19,8.83,50.36,20.94,39.75,0.02,0.25,0.06,0,0.16,20,0.13,10.35,63.5,1.78,35.71,1.02,37.5,0.63,0.29,11.78,72.78,0,,0,,0,0,0,0,,,1.4,,,0,0,0,0,0,0
