Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Rodon,Leeds United,Leeds United,RCB,26,8000000,2025-06-30,26,2433,0,1.43,0,0.34,12.21,67.27,Wales,Wales,right,193,88,yes,8.95,4.44,78.33,4.44,63.33,0.22,0.32,0.63,5.25,7.47,0.44,4,0.15,1,0.04,0.26,0,0,0,0.05,0,0,9,0.33,11.11,0,0,0,0,0,0,0,0,0,0.3,75,1.26,50,0.59,0.81,0.44,47.5,0.22,0.33,63.29,92.75,19.42,82.1,3.29,93.26,35.25,98.95,61.04,94.48,2.26,45.9,19.64,31.45,0.01,0.11,0,0.04,0.04,0,0.04,4.92,76.69,0.18,0,0.15,0,0.07,0,8.69,73.62,0,,0,,0,0,0,0,,,2.55,,,0.04,0,0,0,0,0
A. Omobamidele,Nottingham Forest,Norwich City,LCB,21,6000000,2026-06-30,2,35,0,0,0,0.01,,,Republic of Ireland,"Republic of Ireland, Nigeria",right,188,80,no,,,,,,,0,,,15,,1,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23,14.07,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
B. Wilmot,Stoke City,Stoke City,LCB,24,6000000,2026-06-30,13,1135,1,0.35,2,0.31,19.59,66.4,England,"England, Republic of Ireland",right,188,80,no,11.1,7.61,80.21,7.06,61.8,0.32,0.48,0.4,4.68,7.02,0.95,4,0.32,0,0,0.4,0.08,1,0.08,0.03,1,0.08,3,0.24,33.33,33.333,0.16,0,0,0,0,0,0,0,0.4,60,1.82,47.83,0.48,0.95,0.48,36.71,0.16,0.56,57.25,84.9,21.96,69.31,4.68,98.31,26.64,94.64,45.12,90.51,12.13,64.05,25.86,45.02,0.02,0.08,0.08,0,0.24,33.33,0.08,8.8,63.06,0.79,30,0.56,28.57,0.32,0,12.53,72.15,0,,0,,0,0,0,0,,,3.33,,,0,0,0,0,0,0
C. Cresswell,Leeds United,Leeds United,RCB,21,5000000,2027-06-30,4,154,0,0,0,0,16.95,65.52,England,England,right,190,75,no,7.01,2.34,50,8.18,78.57,0.58,1.03,1.17,5.26,9.31,0.58,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,66.67,3.51,66.67,0.58,2.92,0,47.92,0,1.17,61.95,89.62,14.61,72,3.51,83.33,39.16,98.51,59.03,93.07,2.92,20,9.97,16.75,0,0,0,0,0,0,0,4.09,71.43,0,0,0,0,0,0,3.51,33.33,0,,0,,0,0,0,0,,,2.34,,,0,0,0,0,0,0
L. Cooper,Leeds United,Leeds United,LCB,32,5000000,2024-06-30,14,727,1,0.31,0,0.11,15.72,64.57,England,"England, Scotland",left,187,73,no,12.38,5.82,82.98,6.44,51.92,0.25,0.38,0.87,7.3,11.35,0.62,0,0,0,0,0.37,0.12,1,0.12,0.04,1,0.12,2,0.25,100,50,0,0,0,0,0,0,0,0,0.25,50,0.99,50,0.62,0.87,0,58.93,0.25,0.5,76.38,93.68,27.98,87.61,3.59,100,37.76,98.03,72.17,95.71,4.21,58.82,15.67,22.29,0.01,0.12,0,0,0,0,0.12,5.45,75,0.37,66.67,0.12,100,0.37,0,8.54,75.36,0,,0,,0,0,0,0,,,2.6,,,0,0,0,0,0,0
J. Vestergaard,Leicester City,Leicester City,"LCB, RCB",31,5000000,2024-06-30,27,2663,2,2.06,0,0.37,11.93,64.02,Denmark,"Denmark, Germany",right,199,98,no,7.13,4.66,64.49,3.65,66.67,0.1,0.15,0.81,4.02,6.09,0.71,9,0.3,0,0,0.37,0.07,2,0.07,0.07,1,0.03,15,0.51,53.33,13.333,0,0,0,0,0,0,0,0,0.14,50,0.98,55.17,0.54,1.08,0.03,75.33,0.17,0.44,90.57,94.55,34.51,88.54,3.08,96.7,43.36,98.6,84.96,96.66,5.61,62.65,18.79,40.49,0.01,0.1,0.03,0.03,0.14,25,0.07,7.2,77.93,0.34,40,0.81,37.5,0.1,0,10,75,0,,0,,0,0,0,0,,,2.4,,,0.07,0.07,50,0,0,0
D. Hyam,Blackburn Rovers,Blackburn Rovers,LCB,28,5000000,2025-06-30,18,1650,0,0.45,0,0.5,16.31,62.88,Scotland,"Scotland, England",right,188,70,no,9.87,5.73,68.57,7.47,58.39,0,0,0.93,5.95,8.38,0.44,3,0.16,1,0.05,0.33,0,0,0,0.02,0,0,5,0.27,20,0,0,0.11,50,0.05,0,0.05,100,0.05,0.33,66.67,0.82,53.33,0.65,1.09,0.22,50.62,0.44,0.11,68.89,89.94,24,78.86,3.87,94.37,34.91,97.97,60.93,94,7.85,59.03,22.2,40.26,0.03,0.05,0,0,0,0,0.05,7.53,70.29,0.27,20,0.27,20,0.05,0.05,9.82,67.78,0,,0,,0,0,0,0,,,2.89,,,0,0,0,0,0,0
J. Stephens,Southampton,Southampton,"LCB, RB",30,5000000,2025-06-30,11,625,0,0.94,0,0.21,10.8,62.67,England,England,right,185,75,no,6.34,4.03,71.43,2.59,77.78,0.14,0.29,0.72,3.31,6.63,0.72,4,0.58,0,0,0.72,0,0,0,0.14,0,0,4,0.58,50,0,0,0.29,50,0,0,0.29,50,0,0.58,50,1.58,36.36,1.3,2.3,0.43,71.14,0.43,0,83.66,95.35,29.23,90.15,6.48,97.78,34.99,98.35,80.78,96.97,2.59,50,16.77,28.61,0.03,0.86,0,0,0,0,0,10.94,84.21,1.15,62.5,0.86,50,0.58,0.14,7.34,88.24,0,,0,,0,0,0,0,,,2.59,,,0,0,0,0,0,0
N. Wood,Swansea City U21,Swansea City,"LCB, CB",21,5000000,2024-06-30,12,1047,1,1.76,0,0.28,11.69,55.15,England,"England, Jamaica",right,188,75,no,5.59,2.84,63.64,4.38,56.86,0.43,0.55,0.6,3.35,4.29,0.26,3,0.26,0,0,0.52,0.09,1,0.09,0.15,1,0.09,5,0.43,80,20,0,0.09,0,0.09,0,0,0,0,0.17,100,1.81,42.86,0.43,0.77,0.17,36.96,0.09,0.43,51.66,92.51,19.43,85.84,3.7,100,22.35,97.31,48.91,94.73,2.66,54.84,19.07,38.07,0.02,0.09,0,0.09,0,0,0.09,3.27,73.68,0.34,75,0.09,100,0.26,0,5.93,59.42,0,,0,,0,0,0,0,,,2.92,,,0,0,0,0,0,0
P. McNair,Middlesbrough,Middlesbrough,"LCB, RB",28,4500000,2024-06-30,15,1343,0,0.64,0,0.45,8.58,60.16,Northern Ireland,Northern Ireland,right,189,84,no,5.16,3.28,59.18,2.21,72.73,0.34,0.42,0.4,2.88,3.61,0.27,1,0.07,0,0,0.6,0,0,0,0.04,0,0,6,0.4,33.33,0,0,0.87,23.08,0,0,0.87,23.08,0.07,0.34,80,1.54,47.83,0.67,1.01,0,44.7,0.47,0.74,57.23,90.52,20.98,84.03,5.36,96.25,25.13,96.8,50.46,95.35,5.96,58.43,20.5,41.01,0.03,0.4,0,0.13,0.07,0,0.13,5.76,74.42,1.01,46.67,0.6,44.44,0.27,0.13,8.64,78.29,0,,0,,0,0,0,0,,,2.75,,,0,0,0,0.27,0,0
