Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Robson,Forest Green Rovers,Forest Green Rovers,"LB, LWB",26,350000,,28,2427,0,0.65,0,1.62,21.17,50.26,Scotland,Scotland,left,173,68,no,10.61,8.05,56.68,6.82,51.63,0.22,0.3,0.3,5.82,7.73,0.85,6,0.22,0,0,2,0,0,0,0.02,0,0,7,0.26,42.86,0,0,3.11,33.33,3.11,33.33,0,0,0.37,1.67,48.89,3.49,42.55,1.04,0.85,0.37,22.88,0.96,0.56,36.04,72.02,16.5,64.04,5.86,91.77,8.79,75.95,26.74,81.97,6.34,47.95,21.51,34.59,0.06,0.48,0,0,0.22,16.67,0.26,6.19,55.69,2.93,48.1,0.33,0,0.41,0.96,10.49,66.78,0,,0,,0,0,0,0,,,0.48,,,0.04,0,0,0.15,0,0
E. Bristow,Stockport County,Stockport County,LB,22,350000,2024-06-30,2,178,0,0,1,0.49,19.21,42.11,England,England,left,188,68,yes,6.57,8.09,50,5.06,30,0,0,0,2.53,5.17,1.01,1,0.51,0,0,2.02,0,0,0,0,0,0,1,0.51,0,0,0.51,5.06,20,5.06,20,0,0,1.01,1.52,66.67,3.03,50,0.51,0.51,0.51,44.49,0.51,1.01,56.63,75,21.74,65.12,17.19,97.06,8.09,50,40.96,86.42,10.62,57.14,19.93,28.12,0.25,1.01,0,0,0,0,0,10.11,60,4.04,25,0,0,0.51,0.51,13.65,74.07,0,,0,,0,0,0,0,,,0.51,,,0,0,0,3.54,0,0
M. Lavinier,Forest Green Rovers,Forest Green Rovers,"LB, RB, LW",23,300000,2024-06-30,9,443,0,0.31,1,0.9,23.57,43.97,England,"England, Portugal",right,180,70,no,9.95,8.74,62.79,2.44,41.67,0.81,1.21,0.61,3.66,5.45,1.42,2,0.41,1,0.2,3.66,0,0,0,0.06,0,0,4,0.81,0,0,0.2,5.08,32,3.05,33.33,2.03,30,0.61,3.86,52.63,9.14,31.11,1.83,2.23,0.2,30.47,1.42,0.61,42.26,72.12,13.81,60.29,8.13,92.5,13.41,72.73,32.51,82.5,4.88,41.67,22.24,30.08,0.18,1.83,0.2,0,0,0,0.41,6.5,56.25,5.49,37.04,0,0,0.81,1.63,11.58,70.18,0,,0,,0,0,0,0,,,0.81,,,1.83,0.2,0,4.27,0,0
A. Lewis,Newport County,Newport County,"LB, LWB",24,300000,,13,1105,1,1.29,2,1.26,16.45,44.55,England,England,left,175,63,yes,9.69,6.92,48.24,3.42,42.86,0.81,1.09,0.57,5.54,7.39,0.73,1,0.08,0,0,3.01,0.08,0,0,0.11,0,0,9,0.73,22.22,11.111,0.16,4.4,35.19,3.34,34.15,0.9,36.36,0.81,2.28,53.57,3.67,42.22,0.65,0.9,0.41,18.65,0.49,0.57,30.87,67.28,13.76,60.36,3.26,87.5,10.43,70.31,18.98,81.97,7.57,48.39,25.4,38.71,0.1,0.81,0.16,0,0.24,33.33,0.49,7.49,57.61,4.89,40,1.38,41.18,0.49,1.63,10.18,69.6,0,,0,,0,0,0,0,,,0.16,,,1.14,0,0,1.71,1,100
L. O'Connor,Tranmere Rovers,Tranmere Rovers,RB,23,300000,2024-06-30,23,1982,0,0.03,2,1.37,12.58,57.4,Republic of Ireland,Republic of Ireland,right,178,75,no,10.22,6.4,67.38,2.5,50.91,0.64,0.8,0.32,5.27,6.65,0.41,3,0.14,0,0,1.14,0,0,0,0,0,0,1,0.05,0,0,0.09,2.59,29.82,0,0,2.59,29.82,0.54,0.36,87.5,1.95,51.16,0.09,1.04,0.59,25.79,0.59,0.73,38.42,71.04,18.57,60.64,5.09,93.75,10.63,78.63,28.34,82.21,7.58,42.51,22.41,35.94,0.06,0.68,0,0,0.09,50,0.36,8.04,62.71,3.04,44.78,0.54,41.67,0.45,0.82,11.72,75.19,0,,0,,0,0,0,0,,,2,,,0,0,0,0,0,0
L. Garbutt,Salford City,Salford City,"LB, LCB, LWB",30,300000,,18,1528,0,0.37,2,2.77,15.31,47.69,England,England,left,179,73,no,8.89,6.01,54.9,3.48,49.15,0.53,0.77,0.53,5.07,7.33,0.71,7,0.41,0,0,2,0,0,0,0.02,0,0,7,0.41,0,0,0.12,3.24,41.82,3.12,39.62,0.12,100,0.41,1.3,45.45,3.12,32.08,0.35,1.24,0.53,32.69,1.41,0.24,47.24,79.68,19.26,69.72,6.48,97.27,15.79,87.31,36.58,89.05,7.66,50,21.93,40.43,0.16,1.18,0.06,0,0.12,50,0.18,7.36,59.2,3.18,51.85,0.71,33.33,0.47,1.47,10.13,75,0,,0,,0,0,0,0,,,1.3,,,0.94,0.12,0,2.41,0,0
B. Halliday,Bradford City,Bradford City,"RWB, RB",28,300000,2024-06-30,28,2548,2,1.67,3,3.14,22.92,51.31,England,England,right,180,68,no,11.09,8.3,72.34,5.19,42.86,0.6,0.85,0.21,4.49,6.33,0.95,5,0.18,0,0,2.76,0.07,2,0.07,0.06,0,0,14,0.49,35.71,14.286,0.11,3.78,35.51,0,0,3.78,35.51,0.25,2.12,55,5.4,40.52,1.2,1.98,0.92,26.63,2.3,1.06,40.44,72.66,16.46,59.87,7.88,93.27,9.89,74.64,31.08,83.98,5.65,34.38,18.91,34.29,0.11,0.99,0.04,0.04,0.18,40,0.57,7.03,54.27,3.85,44.95,0.81,26.09,0.71,1.41,9.01,72.55,0,,0,,0,0,0,0,,,0.53,,,0.18,0,0,0.25,0,0
T. Shade,Swindon Town,Swindon Town,LWB,23,300000,2024-06-30,24,1485,2,2.34,1,1.6,22.42,45.41,England,"England, St. Kitts and Nevis",right,183,76,no,6.61,4.91,56.79,2.42,37.5,0.06,0.09,0,3.76,5.45,0.55,3,0.18,0,0,5.39,0.12,2,0.12,0.14,1,0.06,30,1.82,43.33,6.667,0.06,2.55,26.19,2,30.3,0.55,11.11,0.24,6.61,58.72,13.09,44.44,3.09,4.36,0.79,22.12,1.39,0.79,33.7,82.73,5.94,64.29,11.45,97.88,10.79,80.34,29.33,90.5,1.88,38.71,17.96,23.26,0.1,0.79,0,0.06,0.12,50,0.18,1.88,67.74,1.7,39.29,0.12,50,0.61,0.67,3.64,51.67,0,,0,,0,0,0,0,,,1.03,,,0.06,0.06,0,0.3,0,0
C. Johnson,Mansfield Town,Mansfield Town,RB,27,300000,2024-06-30,16,986,1,0.21,2,0.89,18.89,54.59,England,England,right,178,71,no,9.4,6.75,66.22,3.19,60,0.09,0.12,0.37,4.84,6.26,0.73,3,0.27,0,0,4.02,0.09,1,0.09,0.02,1,0.09,3,0.27,66.67,33.333,0.18,4.75,23.08,0,0,4.75,23.08,0.91,4.29,61.7,6.66,47.95,0.91,2.92,0.64,30.58,3.1,0.64,42.17,74.46,14.33,65.61,10.13,95.5,9.31,71.57,33.23,86.81,4.56,34,21.37,30.76,0.08,0.91,0,0.09,0.18,50,0.55,5.57,60.66,3.56,38.46,0.37,75,0.37,1.1,8.85,70.1,0,,0,,0,0,0,0,,,1.1,,,0,0,0,0,0,0
G. Williams,Mansfield Town,Mansfield Town,"RB, RCMF",30,300000,,11,189,0,0.3,0,0.06,14.76,64.52,England,England,right,176,70,no,7.62,4.29,77.78,6.19,69.23,0,0,0.95,4.29,5.87,0,0,0,0,0,1.9,0,0,0,0.14,0,0,2,0.95,50,0,0,0.95,50,0,0,0.95,50,0.48,1.9,50,2.38,40,0.95,1.43,0,22.38,1.9,0,29.52,77.42,12.86,66.67,5.71,100,8.1,82.35,26.19,81.82,2.38,40,15.01,10.87,0.03,0.48,0,0,0,0,0.48,5.24,45.45,2.38,60,0.48,0,0.48,0.48,8.57,88.89,0,,0,,0,0,0,0,,,0.48,,,0,0,0,0,0,0
