Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Joelinton,Newcastle United,Newcastle United,LCMF,27,38000000,2025-06-30,16,1266,2,2.17,0,1.33,25.88,40.66,Brazil,Brazil,right,186,81,no,7.82,6.68,56.38,3.63,31.37,0.21,0.29,0.43,3.84,5.26,1.71,5,0.36,0,0,2.63,0.14,2,0.14,0.15,0,0,14,1,42.86,14.286,0,0.36,80,0.36,80,0,0,0,3.63,49.02,11.37,34.38,2.06,1.56,0.28,22.82,1,1.42,35.05,86.21,8.46,73.95,8.03,94.69,9.24,87.69,33.91,86.58,0.78,72.73,14.61,19.07,0.09,0.78,0.14,0,0.28,50,0.36,3.27,78.26,1,64.29,0.36,60,0.64,0.21,3.2,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
H. Elliott,Liverpool,Liverpool,"RCMF, RWF, RW",20,35000000,2027-06-30,17,587,1,1.06,1,1.37,13.95,59.34,England,England,left,170,67,no,6.9,6.75,70.45,1.69,45.45,0.31,0.57,0,1.84,3.4,0.46,1,0.15,0,0,2.91,0.15,1,0.15,0.16,0,0,19,2.91,26.32,5.263,0.15,2.3,40,0.31,0,1.99,46.15,0.77,1.38,77.78,3.53,56.52,3.07,3.07,1.23,38.48,1.69,0.61,47.68,87.14,11.81,74.03,14.87,93.81,13.8,90,43.39,91.52,1.99,46.15,17.36,22.51,0.21,1.38,0.15,0.15,0.46,33.33,0.77,4.45,72.41,3.83,76,0.92,33.33,2.91,1.07,5.98,79.49,0,,0,,0,0,0,0,,,0.77,,,0,0,0,0.77,0,0
C. Gallagher,Chelsea,Chelsea,"AMF, RCMF, LCMF",23,32000000,2025-06-30,20,1906,0,2.04,3,2.6,17.99,51.44,England,England,right,182,77,no,8.07,7.79,56.36,1.37,44.83,0.38,0.59,0.33,3.31,5.13,2.22,5,0.24,1,0.05,2.27,0,0,0,0.1,0,0,25,1.18,36,0,0.14,0.71,33.33,0.14,66.67,0.57,25,0.24,2.03,72.09,6.75,48.25,1.7,1.7,0.94,36.5,0.38,1.32,50.19,91.25,11.29,82.01,10.95,96.12,17.19,93.96,47.41,93.33,2.12,64.44,15.82,28.58,0.12,1.18,0.05,0.14,0.28,50,0.33,5.24,85.59,1.61,67.65,0.24,40,0.99,0.19,4.77,83.17,0,,0,,0,0,0,0,,,0.57,,,0.09,0,0,1.37,0,0
J. Willock,Newcastle United,Newcastle United,"LCMF, LWF, RCMF",24,30000000,2027-06-30,3,163,0,0,0,0.84,18.22,36.36,England,"England, Montserrat",right,179,71,no,7.18,5.52,50,1.1,50,0.55,0.67,0,3.87,4.67,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,1.66,0,1.1,0,0.55,0,0.55,7.18,38.46,11.04,30,2.21,1.66,1.66,21.53,0.55,0,29.82,75.93,7.18,76.92,4.42,87.5,8.83,62.5,24.85,82.22,3.31,66.67,14.63,24.56,0.46,1.1,0,0,0.55,0,0.55,3.87,85.71,2.21,25,0.55,0,1.1,0.55,3.87,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Gravenberch,Liverpool,Liverpool,"LCMF, RCMF",21,30000000,2027-06-30,16,749,0,1.24,0,0.97,22.71,41.27,Netherlands,"Netherlands, Suriname",right,190,77,no,7.57,7.21,53.33,1.56,38.46,0.12,0.22,0.12,3.6,6.62,1.2,0,0,0,0,2.64,0,0,0,0.15,0,0,11,1.32,45.45,0,0,0.24,50,0.24,50,0,0,0,4.09,44.12,10.81,33.33,1.92,2.16,0.72,23.79,0.24,1.08,35.33,83.33,9.25,81.82,8.17,91.18,9.13,85.53,34.13,83.8,0.96,75,15.01,15.29,0.12,1.08,0,0.12,0.12,100,0.12,3.72,83.87,1.8,73.33,0.24,50,1.8,0.12,5.17,79.07,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0,0,0
E. Eze,Crystal Palace,Crystal Palace,"AMF, LAMF, LW",25,30000000,2027-06-30,15,1222,3,3.58,1,2.58,22.98,45.83,England,"England, Nigeria",right,173,67,no,4.79,4.42,61.67,1.25,29.41,0.07,0.08,0.07,1.99,2.27,1.03,2,0.15,0,0,4.86,0.22,2,0.15,0.26,0,0,43,3.17,39.53,6.977,0.07,1.18,12.5,0.66,0,0.52,28.57,0.29,6.41,49.43,14.36,45.13,2.65,2.73,0.88,22.09,1.1,1.99,28.13,83.25,7.22,79.59,7.73,93.33,7.07,78.13,26.44,86.91,0.52,57.14,15.23,10.76,0.19,1.77,0,0,0.74,40,0.52,2.14,75.86,2.73,59.46,0.81,36.36,1.55,0.22,4.05,67.27,0,,0,,0,0,0,0,,,0,,,2.21,0.81,45.45,3.31,1,100
M. Gibbs-White,Nottingham Forest,Nottingham Forest,"AMF, RW, RWF",24,30000000,2027-06-30,20,1923,2,4.1,3,3.76,20.31,44.7,England,"England, Jamaica",right,171,70,no,5.48,4.73,59.41,3.51,44,0.42,0.44,0.14,2.25,2.36,0.8,4,0.19,0,0,3.37,0.09,1,0.05,0.19,0,0,36,1.68,16.67,5.556,0.14,1.83,48.72,0.33,71.43,1.45,45.16,0.14,3.98,51.76,9.03,38.86,2.48,1.68,0.89,20.17,1.78,1.5,27.85,74.62,8.19,61.71,5.38,92.17,8.38,77.65,23.82,78.98,2.34,48,16.72,31.28,0.18,1.4,0.14,0.05,0.8,17.65,0.42,3.46,59.46,2.29,57.14,1.03,13.64,1.03,0.84,4.54,71.13,0,,0,,0,0,0,0,,,0.14,,,1.83,0.05,0,2.62,1,100
Fábio Vieira,Arsenal,Arsenal,"LCMF, RCMF",23,27000000,2027-06-30,8,298,1,1.46,2,1.06,14.19,42.55,Portugal,Portugal,left,170,63,no,2.72,3.93,46.15,0,0,0,0,0,0.91,1.91,2.11,0,0,1,0.3,3.02,0.3,0,0,0.44,0,0,6,1.81,33.33,16.667,0.6,2.72,33.33,2.11,42.86,0.6,0,0.91,2.72,55.56,8.46,39.29,3.62,2.11,0.6,27.18,1.51,3.02,32.01,84.91,6.34,76.19,9.36,96.77,12.68,80.95,27.48,90.11,1.81,83.33,17.48,12.58,0.32,0.91,0,0,0.3,0,0.6,2.11,71.43,3.02,50,0.6,50,0.91,0.91,3.62,75,0,,0,,0,0,0,0,,,0,,,0.91,0,0,1.81,1,100
S. Longstaff,Newcastle United,Newcastle United,"RCMF, LCMF",26,22000000,2025-06-30,18,1458,2,1.67,2,1.59,12.78,49.28,England,England,right,180,65,no,6.54,4.81,64.1,1.23,45,0.43,0.59,0.31,3.02,4.11,0.49,5,0.31,0,0,1.36,0.12,2,0.12,0.1,0,0,16,0.99,37.5,12.5,0.12,0.99,37.5,0,0,0.99,37.5,0.19,0.99,43.75,4.69,34.21,2.28,0.62,0,27.22,0.8,1.17,35.06,84.51,9.94,74.53,6.11,93.94,11.79,87.96,31.11,88.89,2.96,54.17,17.31,36.32,0.1,0.56,0,0.06,0.43,42.86,0.37,4.88,74.68,1.79,58.62,0.56,55.56,0.99,0.31,5.19,75,0,,0,,0,0,0,0,,,0.43,,,0,0,0,0.12,0,0
P. Billing,Bournemouth,Bournemouth,"AMF, LCMF, LDMF",27,18000000,2027-06-30,19,1318,2,2.39,2,2.08,18.16,50.38,Denmark,"Denmark, Nigeria",left,193,83,no,9.36,6.49,67.37,3.28,54.17,0.34,0.42,0.2,4.64,5.7,1.02,3,0.2,0,0,2.05,0.14,2,0.14,0.16,1,0.07,19,1.3,26.32,10.526,0.14,1.5,45.45,0.89,38.46,0.55,62.5,0.14,1.78,57.69,5.6,35.37,2.87,1.02,0.48,18.03,0.89,0.75,26.97,81.01,7.24,74.53,6.01,95.45,7.78,79.82,24.1,84.14,1.37,65,15.45,25,0.14,0.68,0.07,0,0,0,0.27,2.66,76.92,2.12,67.74,0.34,40,1.37,0.61,4.37,73.44,0,,0,,0,0,0,0,,,0.27,,,0.34,0.34,20,0.14,0,0
