Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Bowen,West Ham United,West Ham United,"CF, RAMF, RW",27,38000000,2030-06-30,20,2000,11,8.51,1,2.22,20.21,37.86,England,"England, Wales",left,175,70,no,4.95,3.74,61.45,3.2,28.17,0.27,0.28,0.23,2.39,2.47,0.81,1,0.05,0,0,3.15,0.5,11,0.5,0.38,3,0.14,47,2.12,51.06,23.404,0.05,1.62,13.89,0.5,18.18,1.13,12,0.36,3.47,50.65,9.9,35.91,4.28,1.89,0.72,12.65,0.95,1.13,17.37,76.17,3.69,73.17,4.01,92.13,4.23,67.02,15.21,83.73,0.63,50,16.74,23.06,0.1,0.45,0.05,0.09,0.27,33.33,0.23,1.31,68.97,0.9,50,0.27,16.67,0.68,0.18,1.66,70.27,0,,0,,0,0,0,0,,,0,,,0,0,0,0.41,0,0
Ansu Fati,Brighton,Brighton,"CF, AMF, LCMF",21,35000000,2027-06-30,9,342,2,2.24,0,0.06,14.74,39.29,Guinea-Bissau,"Guinea-Bissau, Spain",right,178,66,yes,2.63,3.95,33.33,1.58,16.67,0,0,0,1.32,2.38,1.05,1,0.26,0,0,3.95,0.53,2,0.53,0.59,0,0,13,3.42,53.85,15.385,0,0.26,0,0,0,0.26,0,0,2.89,63.64,7.63,48.28,3.68,1.32,0.26,24.21,1.32,1.84,27.89,88.68,6.05,82.61,6.32,91.67,8.42,90.63,25.79,89.8,1.84,85.71,13.25,17.86,0.02,1.05,0.26,0,0.53,50,0.26,2.63,70,1.32,40,0.26,100,1.05,0,1.58,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Højlund,Manchester United,Manchester United,CF,20,35000000,2027-06-30,16,1236,2,3.94,1,1.08,19.66,31.11,Denmark,Denmark,left,187,79,no,2.55,2.62,66.67,3.42,12.77,0.15,0.19,0,0.66,0.84,0.51,2,0.15,0,0,1.67,0.15,2,0.15,0.29,0,0,20,1.46,50,10,0.07,0.51,28.57,0.29,0,0.22,66.67,0.07,1.6,50,9.32,29.69,3.2,0.87,0.44,8.01,0.58,1.02,11.72,79.5,2.26,77.42,2.99,85.37,2.84,76.92,11.07,81.58,0.15,100,12.31,5.93,0.08,0.73,0,0,0.15,0,0.29,0.87,66.67,0.66,66.67,0.15,0,0.66,0.15,1.02,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
João Pedro,Brighton,Brighton,"CF, AMF",22,32000000,2028-06-30,21,1393,7,8.98,2,1.79,24.55,42.11,Brazil,Brazil,right,182,70,no,4.26,3.94,50.82,3.88,48.33,0.06,0.1,0.06,2.2,3.49,0.71,2,0.13,0,0,4.85,0.45,3,0.19,0.58,2,0.13,44,2.84,40.91,15.909,0.13,1.42,36.36,1.23,36.84,0.19,33.33,0.06,4.72,57.53,13.44,37.98,6.2,2.33,1.1,24.75,0.97,2.39,29.66,83.88,5.56,73.26,8.85,95.62,7.95,79.67,27.59,86.89,0.65,60,15.26,14.88,0.12,0.78,0.06,0,0.97,46.67,0.71,2.13,81.82,2.97,69.57,0.71,27.27,2.2,0.45,3.23,78,0,,0,,0,0,0,0,,,0.13,,,0,0,0,0.13,4,100
O. Watkins,Aston Villa,Aston Villa,CF,28,32000000,2028-06-30,21,2087,9,10.86,6,3.83,17.47,35.06,England,England,right,180,78,no,2.63,2.11,55.1,3.32,36.36,0.09,0.13,0.04,1.38,2.11,0.56,4,0.17,0,0,2.93,0.39,9,0.39,0.47,2,0.09,56,2.41,44.64,16.071,0.26,0.6,50,0.26,16.67,0.3,71.43,0.26,2.72,53.97,8.28,34.9,4.7,0.95,0.26,9.53,1.72,0.78,12.89,77.59,2.8,58.46,3.71,93.02,3.1,72.22,11.56,81.34,0.73,41.18,15.04,18.3,0.17,0.91,0.09,0.09,0.3,28.57,0.73,1.03,58.33,0.91,61.9,0.34,37.5,1.21,0.26,1.12,76.92,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,0,0
A. Broja,Chelsea,Chelsea,CF,22,30000000,2028-06-30,13,539,1,2.4,0,0,21.37,28.13,England,"England, Albania",right,191,75,no,3.01,2,75,3.01,33.33,0,0,0.33,1.5,2.27,0.67,0,0,0,0,1.67,0.17,1,0.17,0.4,0,0,11,1.84,9.09,9.091,0,0.5,33.33,0.17,100,0.33,0,0.17,3.67,36.36,13.36,23.75,5.18,1.17,0.5,11.69,1.34,1.34,15.19,92.31,1.67,80,7.51,97.78,1.84,81.82,14.53,94.25,0.17,100,12.13,3.21,0,0.17,0,0,0,0,0,0.5,100,0.67,50,0,0,0.83,0.17,0.33,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Matheus Cunha,Wolverhampton Wanderers,Wolverhampton Wanderers,"CF, AMF, LWF",24,30000000,2026-06-30,21,1936,6,6.02,5,2.38,21.71,42.61,Brazil,Brazil,right,183,76,no,5.9,5.16,58.56,2.65,22.81,0.33,0.4,0.19,2.56,3.11,0.74,4,0.19,0,0,4.14,0.28,6,0.28,0.28,2,0.09,48,2.23,50,12.5,0.23,1.12,25,0.6,23.08,0.51,27.27,0,4.79,51.46,10.65,43.23,3.53,3.49,1.91,18.22,1.26,1.39,23.99,81.01,5.63,66.12,5.81,95.2,6.51,80.71,21.99,85.2,0.93,45,15.59,25.09,0.11,0.84,0,0,0.51,54.55,0.6,2.74,76.27,2,58.14,0.51,54.55,1.35,0.46,3.39,73.97,0,,0,,0,0,0,0,,,0.14,,,0,0,0,0.05,0,0
B. Mbeumo,Brentford,Brentford,"CF, RWF",24,28000000,2026-06-30,15,1442,7,7.45,3,4.76,22.66,41.32,France,"France, Cameroon",left,171,65,no,4.18,4.31,56.52,3.99,26.56,0.25,0.32,0.06,1.5,1.93,1.06,1,0.06,0,0,5.49,0.44,4,0.25,0.47,0,0,39,2.43,43.59,17.949,0.19,3.12,42,0.5,62.5,2.56,39.02,0.56,4.43,61.97,10.55,43.2,3.87,2.12,1.12,20.28,2.68,1.44,27.52,75.28,7.43,58.82,7.3,95.73,7.3,70.94,23.03,81.03,1.5,58.33,16.33,27.07,0.3,1.5,0.06,0.06,0.56,66.67,0.75,1.87,60,3.99,56.25,0.5,25,1.93,1.31,4.49,70.83,0,,0,,0,0,0,0,,,0.25,,,1.37,0.19,66.67,2.43,3,100
A. Mitrović,Fulham,Fulham,CF,28,28000000,2026-06-30,1,39,0,0.36,0,0,,,Serbia,Serbia,right,189,90,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.49,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
D. Calvert-Lewin,Everton,Everton,CF,26,25000000,2025-06-30,17,1235,3,6.39,0,0.2,26.96,36.49,England,England,right,187,74,no,3.57,2.91,52.5,12.39,40,0.44,0.47,0.15,1.6,1.73,1.24,1,0.07,0,0,2.26,0.22,3,0.22,0.47,0,0,32,2.33,46.88,9.375,0,0.29,25,0.15,50,0.15,0,0,1.82,60,6.49,35.96,3.94,1.02,0.36,9.62,3.13,0.58,12.68,71.26,2.99,46.34,3.86,88.68,2.55,65.71,12.32,72.19,0.07,100,12.9,3.01,0.01,0.51,0.07,0,0,0,0.07,1.02,42.86,0.51,57.14,0,0,0.66,0.07,1.17,56.25,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
E. Nketiah,Arsenal,Arsenal,CF,24,25000000,2027-06-30,20,1118,5,4.89,2,0.34,20.53,35.29,England,"England, Ghana",right,180,73,no,3.7,3.14,58.97,3.54,31.82,0.16,0.25,0.16,1.69,2.66,1.45,3,0.24,0,0,2.5,0.4,5,0.4,0.39,0,0,27,2.17,37.04,18.519,0.16,0.48,16.67,0.08,0,0.32,25,0,2.98,51.35,9.26,34.78,4.35,0.89,0.56,10.14,1.05,1.93,13.6,81.07,2.33,72.41,5.55,91.3,2.42,90,13.12,83.44,0,0,14.53,0,0.03,0.4,0.08,0,0.32,25,0.24,0.72,88.89,0.89,54.55,0.24,33.33,0.72,0.08,0.72,66.67,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0,0,0
T. Awoniyi,Nottingham Forest,Nottingham Forest,CF,26,20000000,2027-06-30,10,710,4,3.37,2,0.15,22.44,29.94,Nigeria,Nigeria,right,183,84,no,2.92,3.17,64,3.55,28.57,0,0,0.25,0.89,0.92,1.01,1,0.13,0,0,1.14,0.51,4,0.51,0.43,1,0.13,10,1.27,50,40,0.25,0.38,0,0,0,0.38,0,0,0.89,42.86,10.39,19.51,3.17,1.14,0.25,9.89,2.03,0.89,13.82,77.98,2.66,66.67,4.56,88.89,3.3,80.77,13.44,80.19,0,0,11.96,0,0.02,0.76,0.13,0,0.13,100,0.51,0.76,33.33,0.51,25,0.13,100,0.76,0,1.01,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Kalajdžić,Wolverhampton Wanderers,Wolverhampton Wanderers,CF,26,18000000,2027-06-30,11,243,2,0.88,0,0.5,25.93,40,Austria,"Austria, Serbia",right,200,90,no,5.19,5.93,56.25,7.04,57.89,0,0,0,1.85,2.94,2.22,1,0.37,0,0,1.48,0.74,2,0.74,0.33,1,0.37,4,1.48,50,50,0,0.74,50,0.74,50,0,0,0,1.11,33.33,6.67,16.67,2.22,0.74,0.37,13.33,1.11,1.48,21.11,70.18,3.7,50,3.7,90,7.41,65,18.15,73.47,2.22,50,14.69,10.47,0.19,1.11,0,0.37,0,0,0.37,2.22,33.33,1.48,50,0,0,0.37,0.37,3.33,55.56,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Wilson,Newcastle United,Newcastle United,CF,31,18000000,2025-06-30,14,848,7,8.32,1,0.29,21.23,31,England,England,right,180,66,no,1.91,2.02,57.89,2.65,24,0,0,0.11,0.74,1.15,1.17,1,0.11,0,0,3.29,0.74,5,0.53,0.88,1,0.11,32,3.4,56.25,21.875,0.11,0.53,0,0.11,0,0.42,0,0.11,2.12,60,11.67,28.18,5.84,1.17,0.21,9.45,1.27,1.17,10.51,68.69,2.33,40.91,2.33,95.45,2.55,70.83,9.76,72.83,0.32,33.33,13.3,11.35,0.03,0.32,0,0,0.32,33.33,0.11,1.38,53.85,0.42,25,0.32,33.33,0.53,0,0.53,80,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
D. Solanke,Bournemouth,Bournemouth,CF,26,18000000,2027-06-30,20,1995,12,11.88,0,0.96,24.9,29.53,England,"England, Nigeria",right,187,80,no,4.06,3.34,55.41,5.23,32.76,0,0,0.27,2.21,2.66,0.99,1,0.05,0,0,2.71,0.54,11,0.5,0.54,3,0.14,56,2.53,41.07,21.429,0,0.45,60,0.27,66.67,0.18,50,0,3.29,41.1,11.19,27.02,4.2,0.77,0.5,7.8,1.8,0.9,10.47,81.47,2.17,58.33,2.71,93.33,2.62,86.21,9.88,82.65,0.14,66.67,13,5.12,0.04,0.32,0,0,0.32,14.29,0.23,0.95,71.43,0.72,81.25,0.23,0,0.45,0.27,0.81,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
