Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Perkins,Oxford United,Oxford United,CF,19,1200000,2025-06-30,3,27,0,0,0,0,,,England,"England, Republic of Ireland",left,178,69,yes,,,,,,,0,,,6,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
L. Plange,Crystal Palace,Carlisle United,CF,21,1200000,2025-06-30,22,1095,2,3.11,0,0.31,35.26,27.51,England,England,left,178,75,no,4.77,5.26,59.38,6.74,29.27,0,0,0,1.64,2.22,1.48,1,0.08,0,0,3.29,0.16,2,0.16,0.26,0,0,25,2.05,28,8,0,2.14,19.23,1.15,14.29,0.99,25,0.25,5.59,39.71,16.77,20.59,2.38,2.38,0.49,11.92,1.56,0.82,17.59,75.7,2.38,65.52,6.49,88.61,4.03,63.27,15.45,83.51,0.08,100,14.89,2.42,0.03,0.58,0,0,0.16,50,0.16,0.58,57.14,1.97,33.33,0.16,50,0.25,0.33,1.32,87.5,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Clarke-Harris,Peterborough United,Peterborough United,CF,29,1200000,2024-06-30,18,1361,6,7.09,0,1.43,20.7,34.5,England,"England, Jamaica",left,183,78,no,2.65,2.18,45.45,8.66,35.88,0.33,0.51,0.13,1.32,2.04,1.06,1,0.07,0,0,1.72,0.4,6,0.4,0.47,4,0.26,40,2.65,40,15,0,0.46,42.86,0.26,50,0.2,33.33,0.07,0.79,58.33,4.7,28.17,3.57,0.2,0.07,9.32,1.92,0.79,13.75,71.63,2.78,50,4.7,90.14,3.84,68.97,12.56,73.68,0.79,50,17.42,21.08,0.09,0.66,0,0,0.13,0,0.33,1.45,50,0.66,40,0.13,0,0.73,0.13,1.45,54.55,0,,0,,0,0,0,0,,,0,,,0.07,0.07,0,0,0,0
D. Nlundulu,Bolton Wanderers,Bolton Wanderers,CF,24,900000,2024-06-30,18,518,1,1.43,2,0.6,28.67,25.45,England,"England, Congo DR",right,185,75,no,4.52,3.82,72.73,5.73,27.27,0,0,0.35,1.74,3,1.56,1,0.17,0,0,1.56,0.17,1,0.17,0.25,0,0,7,1.22,71.43,14.286,0.35,0,0,0,0,0,0,0,2.43,28.57,14.59,15.48,3.47,0.52,0.69,13.55,1.22,0.35,22.24,87.5,3.3,63.16,7.3,97.62,6.43,94.59,21.89,88.1,0.35,50,13.68,1.21,0.1,0.69,0,0,0,0,0.35,1.91,72.73,0.52,66.67,0,0,0.69,0,1.56,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Collins,Bristol Rovers,Bristol Rovers,"CF, LW, LWF",26,900000,2025-06-30,27,2287,3,6.74,7,5.54,17.91,39.56,Wales,Wales,right,178,74,no,3.66,3.58,53.85,2.2,32.14,0,0,0.2,1.73,2.5,0.63,3,0.12,0,0,4.01,0.12,3,0.12,0.27,0,0,58,2.28,44.83,5.172,0.28,2.52,23.44,1.81,21.74,0.71,27.78,0.55,4.29,52.29,9.48,39.83,3.46,2.2,1.06,16.57,1.65,1.26,22.67,73.09,4.56,59.48,6.14,91.67,7.63,71.65,19.13,80.86,1.22,41.94,19.78,19.19,0.22,1.02,0.08,0.04,0.43,36.36,0.67,1.65,57.14,2.09,39.62,0.63,18.75,0.75,0.75,2.56,63.08,0,,0,,0,0,0,0,,,0.35,,,0.08,0,0,0.04,0,0
J. Stockley,Fleetwood Town,Fleetwood Town,CF,30,900000,2025-06-30,22,1367,4,4.9,2,0.66,34.83,36.11,England,England,right,188,79,no,2.96,1.91,55.17,16.26,40.49,0.13,0.18,0.13,1.78,2.38,1.38,3,0.2,0,0,0.86,0.26,4,0.26,0.32,3,0.2,25,1.65,36,16,0.13,0.66,30,0.07,0,0.59,33.33,0.07,0.13,0,4.15,17.46,2.77,0,0,8.95,2.3,1.05,17.32,61.6,5.73,50.57,3.09,87.23,5.33,61.73,14.81,63.56,1.91,55.17,17.96,30.36,0.04,0.53,0,0,0.13,50,0.26,2.96,42.22,0.86,23.08,0.2,33.33,0.26,0.2,2.83,53.49,0,,0,,0,0,0,0,,,0,,,0.07,0.07,0,0,0,0
T. John-Jules,Derby County,Derby County,"CF, AMF, RWF",22,800000,,12,408,1,1.65,0,0.1,31.32,35.21,England,"England, Dominica",right,183,75,no,6.4,5.51,68,5.51,24,0,0,0,2.65,4.56,2.43,1,0.22,0,0,4.19,0.22,1,0.22,0.36,0,0,10,2.21,40,10,0,1.76,37.5,0.44,50,1.32,33.33,0,3.97,61.11,15.22,30.43,3.53,0.22,0,12.13,0.88,1.99,20.51,74.19,5.51,60,4.63,90.48,5.51,88,16.99,79.22,1.76,62.5,13.43,12.78,0.02,0.22,0.22,0,0.44,50,0.22,1.99,77.78,1.32,83.33,0.22,0,0.66,0.66,3.53,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Harris,Oxford United,Oxford United,CF,25,800000,,25,2151,7,7.34,0,1.41,21.88,25.81,Wales,Wales,right,182,75,no,3.56,3.43,54.88,3.56,16.47,0,0,0.17,1.67,2.25,1.05,2,0.08,1,0.04,1.92,0.29,7,0.29,0.31,1,0.04,40,1.67,52.5,17.5,0,0.67,18.75,0.21,0,0.42,30,0.04,1.63,53.85,8.66,23.67,3.14,0.75,0.33,11.46,1.76,0.59,15.73,75.53,2.34,44.64,5.82,90.65,3.31,75.95,14.73,79.26,0.33,25,13.43,9.79,0.06,0.88,0,0,0.13,33.33,0.33,1,41.67,0.63,40,0.17,25,0.29,0.13,0.92,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Méndez-Laing,Derby County,Derby County,"CF, LAMF, RAMF",31,800000,2024-06-30,29,2504,6,4.11,10,7.27,21.89,47.29,England,"England, Guatemala",right,180,77,no,6.4,4.49,66.4,2.8,30.77,0.36,0.53,0.07,3.06,4.51,0.61,4,0.14,0,0,7.66,0.22,6,0.22,0.15,0,0,57,2.05,36.84,10.526,0.36,4.92,41.61,2.16,30,2.73,51.32,0.75,7.4,60.68,11.47,46.71,3.38,3.41,1.4,21.49,2.01,0.9,32.85,71.99,8.23,63.32,6.97,89.69,10.78,71,25.73,80.31,2.41,43.28,19.03,32.25,0.26,1.65,0.04,0.07,0.47,76.92,1.08,3.56,62.63,4.96,57.97,0.72,40,1.37,2.12,6.72,78.07,0,,0,,0,0,0,0,,,0.07,,,0.32,0.04,100,1.44,0,0
S. Lavery,Blackpool,Blackpool,CF,25,800000,2024-06-30,17,884,4,4.34,0,0.95,26.27,26.36,Northern Ireland,Northern Ireland,right,176,64,no,3.05,3.36,51.52,7.64,18.67,0,0,0,1.32,1.76,0.81,1,0.1,0,0,2.85,0.41,4,0.41,0.44,1,0.1,24,2.44,41.67,16.667,0,0.92,22.22,0.31,33.33,0.61,16.67,0.51,3.87,42.11,10.49,25.24,4.58,1.93,0.61,7.84,2.55,0.71,10.28,75.25,1.73,82.35,2.95,89.66,2.55,60,9.06,82.02,0.31,33.33,14.75,3.56,0.1,0.51,0.1,0,0.1,0,0.51,0.71,71.43,1.12,63.64,0.1,0,0.92,0.2,0.92,77.78,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
