Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Burrows,Peterborough United,Peterborough United,LB,22,3000000,2024-06-30,28,2629,3,2.96,7,5.98,19.96,47.68,England,England,left,168,56,no,8.01,6.88,64.68,3.42,35,0.07,0.1,0.21,3.49,5.34,0.68,4,0.14,0,0,3.39,0.1,3,0.1,0.1,0,0,36,1.23,22.22,8.333,0.24,4.45,41.54,3.9,41.23,0.55,43.75,0.65,2.02,59.32,6.4,39.57,1.95,2.6,1.54,49.98,1.27,0.89,64.94,81.5,21.64,67.09,11.23,95.73,21.88,87.79,54.6,89.66,6.06,35.59,20.17,41.54,0.2,1.81,0.07,0,0.27,25,0.75,9.14,64.04,4.28,53.6,0.58,17.65,0.75,1.88,13.15,73.96,0,,0,,0,0,0,0,,,0.48,,,0.45,0.03,100,3.8,0,0
H. Vale,Bristol Rovers,Bristol Rovers,"LB, LWB, LW",20,2000000,2025-06-30,25,2057,2,3.29,4,3.18,21.75,51.91,England,England,left,181,72,yes,10.15,7.13,62.58,4.24,41.24,0.66,0.96,0.18,5.03,7.36,0.7,2,0.09,0,0,4.51,0.09,2,0.09,0.14,0,0,24,1.05,33.33,8.333,0.18,4.11,31.91,3.81,29.89,0.26,50,0.7,3.72,72.94,7.66,51.43,1.93,2.06,0.57,20.78,1.58,0.96,32.68,67.34,11.73,52.99,6.52,91.28,9.06,67.63,24.5,78.75,4.24,34.02,19,31.76,0.14,0.83,0.09,0,0.22,60,0.53,4.2,43.75,3.89,40.45,0.53,25,0.74,1.36,6.74,60.39,0,,0,,0,0,0,0,,,0.35,,,0.7,0.09,0,1.49,0,0
L. Fiorini,Charlton Athletic,Charlton Athletic,"RWB, DMF, RCMF",21,1800000,2026-06-30,3,62,0,0.02,0,0.06,14.52,50,England,"England, Scotland",right,178,67,yes,2.9,2.9,100,2.9,100,0,0,0,0,0,1.45,0,0,0,0,1.45,0,0,0,0.03,0,0,1,1.45,0,0,0,5.81,0,2.9,0,2.9,0,0,4.35,33.33,5.81,25,1.45,0,0,26.13,0,0,36.29,64,14.52,60,4.35,100,15.97,54.55,27.58,78.95,2.9,50,21.07,24.66,0.08,1.45,0,0,0,0,1.45,2.9,50,8.71,16.67,1.45,100,1.45,0,2.9,50,0,,0,,0,0,0,0,,,0,,,0,0,0,1.45,0,0
A. Lyons,Blackpool,Blackpool,"LWB, LB",23,1500000,2026-06-30,11,734,1,0.36,0,0.24,23.3,48.42,Republic of Ireland,Republic of Ireland,right,178,78,no,8.83,7.85,67.19,5.27,39.53,0.12,0.17,0.12,3.43,4.8,0.86,0,0,0,0,2.45,0.12,1,0.12,0.04,0,0,5,0.61,80,20,0,2.21,38.89,2.08,41.18,0.12,0,0.25,2.82,39.13,6.5,37.74,1.96,0.74,0.25,15.2,1.1,0.98,22.44,74.32,7.72,58.73,7.23,96.61,4.66,78.95,17.66,81.25,2.57,57.14,16.41,28.41,0.03,0.74,0,0,0.12,0,0.25,2.94,54.17,1.59,38.46,0.25,0,0.37,0.74,4.66,68.42,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Thompson,Blackpool,Blackpool,LWB,23,1500000,2025-06-30,5,416,0,0,0,0.57,16.23,56,England,"England, Jamaica",left,183,75,no,8.22,3.89,50,3.89,83.33,0,0,0,6.27,7.63,0.65,2,0.43,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,2.38,27.27,2.38,27.27,0,0,0.87,2.6,83.33,5.84,48.15,1.08,1.3,0.22,20.77,1.51,1.3,30.94,65.03,12.12,44.64,8.65,95,6.06,57.14,23.37,76.85,5.63,30.77,21.77,42.89,0.12,0.43,0.43,0,0.43,100,0,5.41,32,3.25,33.33,1.51,42.86,0,0.43,8.22,50,0,,0,,0,0,0,0,,,0.22,,,0,0,0,0,0,0
R. Nyambe,Derby County,Derby County,"RB, RCB",26,1200000,,14,1280,0,0.21,0,0.23,21.73,55.66,Namibia,"Namibia, England",right,183,70,no,9.21,8.44,69.17,3.23,58.7,0.14,0.2,0.14,3.23,4.71,0.84,1,0.07,0,0,2.04,0,0,0,0.01,0,0,3,0.21,33.33,0,0,0.77,27.27,0,0,0.77,27.27,0.07,3.45,51.02,6.4,41.76,0.21,1.97,0.35,25.38,0.91,0.98,36.28,85.66,12.87,76.5,9,95.31,9.14,92.31,33.33,89.24,2.18,51.61,17.38,24.88,0.02,0.07,0.07,0,0.07,0,0.07,4.92,81.43,1.13,43.75,0,0,0.21,0.21,6.26,74.16,0,,0,,0,0,0,0,,,1.48,,,0,0,0,0,0,0
J. Lawrence-Gabriel,Blackpool,Blackpool,"RWB, RCB",25,1000000,2025-06-30,5,132,0,0.1,0,0,19.09,46.43,England,"England, Scotland",right,178,75,no,7.5,8.18,41.67,4.77,42.86,0.68,1.25,0.68,3.41,6.25,0.68,1,0.68,0,0,1.36,0,0,0,0.07,0,0,1,0.68,0,0,0,0.68,100,0,0,0.68,100,0,2.73,25,4.77,42.86,0,0,0,13.64,2.05,1.36,23.86,71.43,9.55,35.71,4.77,100,6.14,100,20.45,76.67,2.73,25,21.14,23.91,0,0,0,0,0,0,0,3.41,40,1.36,100,1.36,0,0.68,0.68,2.73,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Burey,Oxford United,Oxford United,"LWB, LAMF",23,900000,,2,88,0,0.06,0,0,28.64,21.43,England,"England, Jamaica",right,187,78,yes,8.18,11.25,36.36,2.05,50,0,0,0,4.09,8,2.05,0,0,0,0,2.05,0,0,0,0.06,0,0,2,2.05,50,0,0,3.07,33.33,2.05,0,1.02,100,0,4.09,0,11.25,0,3.07,2.05,0,21.48,2.05,0,21.48,80.95,5.11,60,5.11,100,5.11,60,17.39,94.12,1.02,0,14.46,15.83,0,0,0,0,0,0,0,1.02,100,3.07,33.33,0,0,2.05,1.02,2.05,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Earl,Fleetwood Town,Fleetwood Town,"LB, LCB",25,900000,2024-06-30,24,2387,2,2.53,0,1.32,22.02,55.82,England,England,left,192,78,no,10.48,7.92,60,3.62,61.46,0.11,0.16,0.49,5.62,7.76,1.09,3,0.11,2,0.08,2.83,0.08,2,0.08,0.1,1,0.04,16,0.6,43.75,12.5,0,2.11,32.14,1.85,32.65,0.23,33.33,0.19,2.83,62.67,6.71,47.75,1.55,2.45,0.87,28.96,0.9,0.87,46.15,77.04,21.72,68.58,4.75,92.86,13.39,84.51,34.99,85.13,9.12,55.79,22.41,42.07,0.05,0.49,0.08,0,0.26,42.86,0.26,9.95,62.88,2.64,50,0.75,40,0.83,0.79,11.42,72.61,0,,0,,0,0,0,0,,,0.49,,,0.04,0,0,0,0,0
C. Elder,Derby County,Derby County,"LB, LWB, LW",28,800000,,14,636,0,0.04,0,0.79,22.22,50.32,Australia,"Australia, England",left,180,67,no,8.07,5.24,62.16,7.36,46.15,0.71,1.05,0.57,4.1,6.08,0.57,1,0.14,0,0,2.41,0,0,0,0.01,0,0,1,0.14,100,0,0,2.26,12.5,2.26,12.5,0,0,0.42,2.41,82.35,4.81,58.82,0.85,1.7,1.27,23.07,0.71,1.13,35.66,76.98,15.42,71.56,4.81,100,10.47,77.03,29.58,84.69,3.82,55.56,17.98,21.54,0.11,0.57,0.14,0,0.14,0,0.14,5.8,63.41,2.83,20,0.28,50,0,0.57,9.62,73.53,0,,0,,0,0,0,0,,,0.85,,,0,0,0,0,0,0
