Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Bate,Milton Keynes Dons,Milton Keynes Dons,LCMF,21,1200000,2024-06-30,3,112,0,0.04,0,0.02,17.68,63.64,England,England,left,170,63,yes,11.25,10.45,69.23,0.8,100,0,0,0,4.02,7.5,1.61,0,0,0,0,2.41,0,0,0,0.03,0,0,1,0.8,100,0,0,0.8,0,0.8,0,0,0,0,2.41,66.67,4.82,50,0.8,0.8,0.8,95.63,0,0.8,110.89,91.3,20.09,80,18.48,95.65,36.16,91.11,105.27,93.89,4.82,50,15.47,40.57,0.02,0.8,0,0,0,0,0,9.64,91.67,0.8,0,0.8,100,0,0,8.04,70,0,,0,,0,0,0,0,,,0.8,,,0,0,0,0,0,0
C. McGeehan,Colchester United,Colchester United,"RCMF, AMF",28,600000,,21,1963,4,5.15,2,1.1,17.42,46.05,England,"England, Northern Ireland",right,180,71,no,6.6,5.5,59.17,4.77,46.15,0.64,0.78,0.37,2.71,3.28,0.96,7,0.32,2,0.09,1.47,0.18,4,0.18,0.24,1,0.05,34,1.56,41.18,11.765,0.09,0.83,22.22,0.23,40,0.6,15.38,0,0.73,50,4.17,30.77,2.11,1.33,0.6,28.1,0.64,0.46,42.18,80.87,16.73,66.58,8.67,95.24,10.41,88.55,37.46,86.29,3.94,40.7,17.34,34.16,0.05,0.78,0.09,0,0.37,75,0.41,6.97,69.74,1.42,35.48,0.55,58.33,0.64,0.18,7.43,69.75,0,,0,,0,0,0,0,,,0.41,,,0.09,0.09,0,0,0,0
D. Gosling,,Notts County,"LCMF, RCMF, DMF",33,400000,,6,126,0,0,0,0,15,47.62,England,England,right,180,79,no,4.29,4.29,66.67,1.43,0,0,0,0,1.43,4,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0.71,0,0,1.43,50,5,57.14,0,0,0,55.71,0,2.86,65,92.31,21.43,83.33,7.86,100,27.86,97.44,64.29,93.33,0,0,19.22,0,0,0,0,0,0,0,0,12.14,82.35,1.43,0,0,0,0.71,0,6.43,88.89,0,,0,,0,0,0,0,,,2.14,,,0,0,0,0,0,0
E. Watt,Salford City,Salford City,"DMF, LDMF, RCMF",23,400000,2024-06-30,20,1901,0,0.34,2,2.62,14.35,54.79,England,"England, Scotland",right,179,72,no,9.89,6.01,62.2,2.94,54.84,0.9,1.24,0.33,5.26,7.27,0.76,7,0.33,0,0,1.14,0,0,0,0.02,0,0,13,0.62,0,0,0.09,1.47,48.39,0.62,38.46,0.71,60,0.33,0.43,66.67,2.32,51.02,0.14,0.76,0,39.67,0.19,0.95,58.37,82.56,23.53,71.23,6.2,98.47,22.77,90.23,48.39,87.87,8.57,58.56,21.19,39.11,0.12,1.42,0,0.09,0.33,42.86,0.38,12.64,67.04,3.36,46.48,1.47,32.26,0.99,0.66,12.74,81.41,0,,0,,0,0,0,0,,,1.56,,,0.99,0.05,0,0.8,0,0
L. Coyle,Accrington Stanley,Accrington Stanley,"LDMF, LCMF",23,350000,2024-06-30,8,802,0,0.65,0,0.2,12.23,53.21,England,"England, Northern Ireland",right,175,67,no,8.42,3.82,64.71,4.15,43.24,0.67,0.96,0,5.27,7.5,0.9,1,0.11,0,0,0.45,0,0,0,0.07,0,0,4,0.45,25,0,0,0.22,100,0.11,100,0.11,100,0,0.22,50,1.35,66.67,0.11,0,0.11,12.68,0.45,1.01,23.57,75.24,8.75,64.1,2.81,88,8.08,83.33,19.98,79.78,3.37,46.67,19.24,38.32,0.02,0.34,0,0,0,0,0.22,3.25,34.48,0.67,50,0.11,0,0.11,0.22,3.48,54.84,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,0,0
D. Cornelius,Harrogate Town,Harrogate Town,"RDMF, RCMF, LDMF",22,350000,,22,1773,1,0.73,1,0.36,14.57,49.83,Scotland,Scotland,right,176,74,no,7.36,5.28,66.35,2.89,47.37,0,0,0.3,3.86,4.83,0.61,3,0.15,0,0,0.96,0.05,1,0.05,0.04,0,0,11,0.56,36.36,9.091,0.05,0.61,25,0.1,0,0.51,30,0.05,0.86,70.59,4.11,33.33,0.46,0.86,0.61,24.52,0.2,0.71,39.9,84.73,12.79,73.81,6.6,96.92,13.71,87.78,36.8,87.86,2.49,53.06,17.23,32.97,0.02,0.2,0,0.05,0.15,0,0.05,5.69,75.89,1.22,37.5,0.25,0,0.25,0.15,5.63,72.97,0,,0,,0,0,0,0,,,0.56,,,0,0,0,0,0,0
R. Smallwood,Bradford City,Bradford City,"LCMF, DMF, LDMF",33,350000,2024-06-30,27,2345,0,0.75,0,3.67,15.31,54.14,England,England,right,180,72,no,9.13,6.72,65.71,3.19,51.81,0.5,0.72,0.04,4.22,6.06,0.84,7,0.27,0,0,1.34,0,0,0,0.03,0,0,8,0.31,37.5,0,0,1.57,53.66,0.46,41.67,0.96,56,0.19,0.31,75,1.61,38.1,0.15,0.38,0.04,26.17,0.27,0.42,45.25,78.63,18.73,65.78,6.1,94.34,15.93,85.78,33.16,85.53,10.55,60.36,21.61,33.57,0.14,1,0.04,0,0.31,50,0.23,11.67,64.14,3.07,55,1.38,58.33,0.88,0.88,10.86,82.33,0,,0,,0,0,0,0,,,0.77,,,2.11,0.04,0,1.5,0,0
G. Evans,Wrexham,Wrexham,DMF,29,350000,,19,1533,0,0.47,0,0.26,11.8,57.71,England,England,right,184,76,no,7.1,3.99,69.12,3.17,53.7,0.47,0.63,0.29,3.87,5.22,0.65,2,0.12,1,0.06,0.88,0,0,0,0.03,0,0,8,0.47,12.5,0,0,1,41.18,0.29,20,0.7,50,0.23,0.7,41.67,2.11,50,0.35,0.53,0.06,28.41,0.18,0.88,42.97,82.92,13.27,69.47,6.75,93.91,17.91,88.52,37.22,88.17,4.87,49.4,20.93,37.44,0.02,0.35,0.06,0.06,0.23,50,0.06,6.22,63.21,1.59,44.44,0.35,16.67,0.41,0.47,6.52,75.68,0,,0,,0,0,0,0,,,0.88,,,0.06,0.06,0,0.29,0,0
D. Campbell,Barrow,Barrow,"DMF, LCMF",22,350000,,29,2154,3,2.55,0,3.08,13.12,53.18,Scotland,Scotland,left,181,71,no,7.6,5.85,61.43,1,37.5,0.38,0.44,0.04,3.64,4.25,0.58,2,0.08,0,0,1.84,0.13,1,0.04,0.11,0,0,20,0.84,35,15,0,1.25,30,1.04,32,0.13,33.33,0.13,1.25,66.67,3.64,58.62,0.67,0.92,0.5,31,0.46,1.13,48.47,85.43,16.59,74.06,8.86,97.64,17.42,91.13,41.99,90.05,5.22,61.6,20.94,35.09,0.13,1.13,0.04,0,0.58,57.14,0.29,8.57,73.17,2.55,57.38,1.09,50,0.88,0.46,8.57,81.46,0,,0,,0,0,0,0,,,2.17,,,1.75,0.08,50,1,2,100
A. Gilbey,Milton Keynes Dons,Milton Keynes Dons,"RCMF, AMF, RWF",29,350000,,28,2767,6,5.9,6,2.51,18.34,43.97,England,England,right,183,73,no,6.9,5.53,58.82,3.25,40,0.29,0.41,0.1,3.35,4.7,1.17,5,0.16,0,0,2.7,0.2,6,0.2,0.19,0,0,53,1.72,39.62,11.321,0.2,1.63,32,0.55,29.41,1.04,31.25,0.49,2.57,50.63,6.47,36.68,2.24,1.89,1.11,24.33,1.3,0.94,34.25,78.25,10.54,62.65,7.77,96.23,10.18,79.87,29.92,84.24,2.76,40,17.98,33.63,0.08,0.91,0,0.03,0.39,50,0.46,5.92,64.29,2.28,47.14,0.65,30,0.88,0.52,5.04,71.61,0,,0,,0,0,0,0,,,0.26,,,0.23,0,0,0.26,0,0
