Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Edozie,Southampton,Southampton,"LWF, AMF, LW",20,7000000,2027-06-30,19,1021,5,2.6,1,0.63,26.27,47.32,England,"England, Nigeria",right,181,71,no,6.96,6.7,61.84,2.2,32,0,0,0.26,2.82,5.19,1.23,1,0.09,0,0,6.61,0.44,5,0.44,0.23,0,0,19,1.67,36.84,26.316,0.09,3.26,27.03,2.64,26.67,0.53,16.67,0.53,9.78,50.45,15.34,45.4,4.58,4.67,1.15,20.27,1.15,2.12,26.53,79.07,4.14,68.09,10.14,98.26,6.08,60.87,22.57,88.67,0.88,10,14.62,11.8,0.06,0.79,0.09,0,0.26,66.67,0.18,0.44,80,3.09,57.14,0.53,50,1.76,0.79,2.73,61.29,0,,0,,0,0,0,0,,,0.18,,,0,0,0,0,0,0
Matheus Martins,Watford,Watford,"LWF, LW, RW",20,7000000,2024-06-30,26,1464,5,1.91,2,1.24,25.08,42.89,Brazil,Brazil,right,179,77,yes,4.3,4.12,58.21,1.29,14.29,0.25,0.38,0.06,1.66,2.53,0.68,1,0.06,0,0,6.39,0.31,5,0.31,0.12,1,0.06,47,2.89,25.53,10.638,0.12,3.63,35.59,2.7,36.36,0.86,35.71,0.31,7.13,58.62,16.35,42.86,3.75,3.57,0.98,26.68,2.03,1.6,35.16,81.12,6.89,79.46,7.32,92.44,14.14,77.39,30,86.68,1.72,75,18.3,27.3,0.08,0.92,0.12,0.12,0.31,60,0.55,2.7,81.82,4,58.46,0.31,60,1.35,1.29,6.02,78.57,0,,0,,0,0,0,0,,,0.12,,,0.37,0.18,33.33,0.92,0,0
J. Brown,Luton Town,Stoke City,"RAMF, CF",25,6000000,2025-06-30,1,108,1,0.37,0,0,31.67,36.84,England,"England, Scotland",right,178,72,no,4.17,5,66.67,12.5,26.67,0,0,0,0.83,2,1.67,1,0.83,0,0,0.83,0.83,1,0.83,0.31,0,0,2,1.67,50,50,0,0.83,0,0,0,0.83,0,0,3.33,0,10,25,4.17,0.83,0,11.67,0.83,1.67,18.33,59.09,2.5,33.33,7.5,77.78,3.33,25,17.5,61.9,0,0,12.16,0,0,0,0,0,0,0,0,1.67,0,0.83,0,0,0,0.83,0,1.67,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Hakšabanović,Stoke City,Stoke City,"LWF, LAMF, LW",24,5500000,2027-05-31,13,785,1,1.05,2,1.82,16.85,48.3,Sweden,"Sweden, Montenegro",right,174,0,yes,4.93,6.19,51.85,1.95,47.06,0.11,0.15,0,1.61,2.1,1.03,0,0,0,0,3.1,0.11,1,0.11,0.12,0,0,15,1.72,20,6.667,0.23,1.03,33.33,0.57,0,0.34,66.67,0,2.98,65.38,6.88,50,2.75,1.61,1.03,23.27,1.38,1.15,32.56,83.1,8.83,77.92,8.03,94.29,9.29,77.78,30.38,86.04,1.26,45.45,14.31,29.32,0.21,1.83,0,0,0.57,80,0.34,2.87,60,2.41,85.71,0.46,75,2.41,0.34,5.04,84.09,0,,0,,0,0,0,0,,,0.23,,,1.49,0.11,100,3.1,0,0
J. Bacuna,Birmingham City,Birmingham City,"LW, RAMF, RB",26,5000000,2025-06-30,27,2128,5,4.83,4,3.05,26.6,43.4,Netherlands,"Netherlands, Curaçao",right,178,74,no,8.75,7.87,57.53,3.72,31.82,0.21,0.26,0.17,4.02,4.99,1.86,8,0.34,0,0,3.64,0.21,4,0.17,0.2,0,0,54,2.28,29.63,9.259,0.17,1.31,25.81,0.42,30,0.89,23.81,0.21,4.36,55.34,10.53,40.16,1.35,1.61,0.63,18.86,0.68,1.27,28.34,74.03,9.69,58.95,4.53,88.79,9.94,83.4,23.64,81.22,3.43,41.98,19.75,29.17,0.13,1.31,0.04,0.04,0.55,38.46,0.21,4.48,50.94,2.37,37.5,0.76,27.78,0.63,0.34,4.91,68.1,0,,0,,0,0,0,0,,,0.63,,,1.23,0.17,25,2.62,1,100
J. Anthony,Leeds United,Leeds United,"LAMF, LW, RAMF",24,5000000,2027-06-30,20,486,1,1.66,0,0.63,22.22,47.5,England,"England, Jamaica",right,183,0,yes,6.3,5.19,60.71,0.74,50,0,0,0,3.15,4.9,1.11,0,0,0,0,6.85,0.19,1,0.19,0.31,0,0,17,3.15,23.53,5.882,0,3.7,45,3.52,47.37,0.19,0,0.93,7.59,58.54,14.26,44.16,3.52,2.78,0.19,31.3,1.11,1.48,38.89,85.24,6.11,78.79,11.67,95.24,13.33,79.17,34.07,90.22,1.11,66.67,15.19,12.31,0.12,1.48,0,0,0,0,0,2.22,91.67,4.07,54.55,0,0,0.74,1.67,3.52,94.74,0,,0,,0,0,0,0,,,0,,,1.3,0.19,0,2.96,0,0
J. Sarmiento,Ipswich Town,Ipswich Town,"LAMF, LW, CF",21,5000000,2027-06-30,22,911,3,1.57,0,0.24,26.28,47.37,England,"England, Ecuador",right,183,73,yes,6.22,6.03,63.93,2.27,52.17,0.69,0.94,0,1.68,2.29,1.38,3,0.3,0,0,4.84,0.3,3,0.3,0.15,0,0,15,1.48,46.67,20,0,1.98,35,1.88,36.84,0.1,0,0.1,7.21,47.95,13.83,42.86,2.96,2.67,1.09,16.79,0.79,1.88,22.52,79.39,6.13,72.58,5.24,92.45,6.42,73.85,19.46,84.77,1.09,63.64,16.15,15.35,0.02,0.3,0,0,0,0,0.2,1.88,78.95,2.27,60.87,0,0,0.79,0.69,2.96,63.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Grant,Cardiff City,Cardiff City,"LAMF, LWF, LW",26,4500000,2026-06-30,26,2210,4,3.08,2,1.63,17.96,40.59,England,"England, Scotland",right,183,70,yes,4.81,3.83,62.77,2.77,33.82,0.08,0.09,0.08,2.32,2.6,0.41,2,0.08,0,0,3.34,0.16,4,0.16,0.13,1,0.04,39,1.59,28.21,10.256,0.08,2.52,27.42,2.36,25.86,0.16,50,0.33,4.03,54.55,8.59,36.97,2.28,2.2,1.02,20.4,1.67,0.77,27.94,75.22,7,61.05,8.14,93.5,6.96,69.59,23.38,83.1,2.2,40.74,16.84,32.76,0.07,0.37,0.04,0.04,0.16,0,0.2,2.16,54.72,2.16,41.51,0.45,27.27,0.41,0.69,3.34,69.51,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,0,0
G. Diangana,West Bromwich Albion,West Bromwich Albion,"RW, LAMF, CF",25,4500000,2025-06-30,21,1499,5,3.54,4,1.16,22.52,38.13,England,"England, Congo DR",left,180,73,no,4.56,3.66,55.74,2.22,27.03,0.12,0.16,0.12,2.4,3.28,0.6,1,0.06,0,0,4.56,0.3,5,0.3,0.21,0,0,24,1.44,25,20.833,0.24,1.86,29.03,0.78,38.46,1.08,22.22,0.3,6.84,48.25,14.29,36.97,2.82,3.18,0.9,24.98,0.84,1.08,33.56,80.86,6.78,69.03,7.93,93.94,10.39,81.5,31.22,84.04,0.48,75,15.41,10.63,0.07,1.14,0,0,0.66,54.55,0.6,3.12,75,2.76,52.17,0.6,50,1.26,0.54,3.9,81.54,0,,0,,0,0,0,0,,,0.3,,,0,0,0,0.06,0,0
R. McGree,Middlesbrough,Middlesbrough,"LAMF, LW",25,4000000,2025-06-30,13,693,3,1.62,0,0.18,18.83,47.59,Australia,Australia,left,178,72,no,6.49,5.45,66.67,0.78,66.67,0.26,0.34,0.13,2.6,3.37,0.78,0,0,0,0,3.25,0.39,3,0.39,0.21,0,0,16,2.08,43.75,18.75,0,1.69,23.08,1.3,20,0.39,33.33,0.26,3.38,53.85,8.96,42.03,3.51,2.08,1.04,37.92,1.17,0.52,47.79,82.61,12.21,69.15,10.91,92.86,12.21,84.04,45.19,85.34,1.17,44.44,14.67,19.89,0.02,0.65,0,0,1.56,8.33,0.13,3.9,70,3.77,65.52,1.69,7.69,2.34,0.39,4.94,73.68,0,,0,,0,0,0,0,,,0,,,0.13,0,0,0.65,0,0
