Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Carey,Blackpool,Blackpool,LCMF,23,900000,2024-06-30,25,1598,3,3,1,1.26,16.78,46.98,England,England,right,184,73,no,7.72,5.63,68,3.21,35.09,0.11,0.16,0,3.77,5.52,0.51,2,0.11,0,0,2.7,0.17,3,0.17,0.17,0,0,37,2.08,37.84,8.108,0.06,1.07,21.05,0.96,17.65,0.06,0,0.11,2.93,51.92,6.08,40.74,1.52,2.82,0.73,29.23,0.51,0.96,41.17,83.04,10.31,63.39,10.31,97.81,14.59,86.1,35.65,88.63,4.51,52.5,18.59,27.21,0.07,0.62,0.11,0,0.34,50,0.17,5.58,64.65,1.86,36.36,0.84,40,0.68,0.28,4.79,69.41,0,,0,,0,0,0,0,,,1.07,,,0.84,0,0,2.42,0,0
T. Fornah,Derby County,Derby County,"RCMF, LDMF, LCMF",24,800000,2024-06-30,17,901,0,0.14,1,0.31,18.18,47.25,England,"England, Ghana",right,185,72,no,8.49,6.39,60.94,2.9,55.17,0.9,1.3,0.3,3.7,5.34,1.1,1,0.1,0,0,1.2,0,0,0,0.01,0,0,5,0.5,20,0,0.1,0.2,50,0.1,0,0.1,100,0.1,1.4,57.14,5.19,32.69,0.6,0.9,0.8,13.88,0.3,0.2,26.77,83.58,7.09,69.01,5.39,98.15,11.29,92.92,24.47,87.35,2.1,42.86,20.63,22.21,0.03,0.4,0,0,0.2,100,0.2,3.4,76.47,0.6,66.67,0,0,0.4,0.1,3.8,60.53,0,,0,,0,0,0,0,,,0.3,,,0,0,0,0.2,0,0
K. Dougall,Blackpool,Blackpool,"DMF, RCMF, LCMF",30,700000,2024-06-30,19,1469,3,1.59,1,1.06,20.59,49.4,Australia,"Australia, Scotland",right,182,79,no,8.76,8.45,65.22,3.68,36.67,0.49,0.68,0,2.76,3.85,1.35,6,0.37,0,0,1.47,0.18,3,0.18,0.1,1,0.06,15,0.92,33.33,20,0.06,1.16,42.11,0.37,50,0.67,36.36,0.18,0.8,53.85,5.27,39.53,1.04,0.31,0,30.51,0.31,0.92,45.46,84.23,11.7,65.45,9.07,96.62,17.83,89.35,41.29,87.83,3.12,50.98,17.94,31.11,0.06,0.74,0,0,0.43,57.14,0.37,5.88,66.67,2.33,44.74,1.1,55.56,0.86,0.49,6,73.47,0,,0,,0,0,0,0,,,0.8,,,0.06,0.06,0,0,0,0
S. Fraser,Charlton Athletic,Charlton Athletic,"LDMF, LCMF, RDMF",28,700000,2025-06-30,16,936,0,0.32,0,1.2,17.4,49.72,Scotland,Scotland,left,183,69,no,7.79,5.67,71.19,2.69,39.29,0.1,0.15,0.29,3.65,5.53,0.48,2,0.19,0,0,2.21,0,0,0,0.03,0,0,10,0.96,40,0,0,2.02,23.81,1.54,18.75,0.48,40,0.29,2.31,54.17,7.02,41.1,2.02,1.54,0.48,25.96,0.38,1.25,40,83.89,12.31,73.44,7.4,96.1,12.21,88.19,34.81,89.5,3.27,58.82,19.13,27.99,0.12,1.06,0.19,0.1,0.29,33.33,0.29,5.19,85.19,2.5,38.46,0.58,33.33,0.48,0.48,5.19,75.93,0,,0,,0,0,0,0,,,1.15,,,1.06,0.1,0,4.23,0,0
M. Peart-Harris,Portsmouth,Portsmouth,"LCMF, AMF",21,700000,2025-06-30,1,102,0,0.16,0,0,22.06,40,England,England,right,187,70,yes,4.41,3.53,75,4.41,60,0.88,1.76,0,0.88,1.76,0.88,0,0,0,0,2.65,0,0,0,0.14,0,0,4,3.53,50,0,0,0.88,0,0.88,0,0,0,0,1.76,50,11.47,23.08,0.88,2.65,4.41,19.41,2.65,1.76,25.59,79.31,9.71,63.64,5.29,100,6.18,85.71,22.06,80,2.65,100,19.64,44.96,0,0,0,0,0,0,0,4.41,40,1.76,100,0,0,2.65,0,3.53,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Hourihane,Derby County,Derby County,"DMF, LCMF, LDMF",32,700000,2024-06-30,27,2201,4,1.99,6,6.74,10.02,52.24,Republic of Ireland,Republic of Ireland,left,180,62,no,5.85,4.25,65.38,2.04,46,0.7,1.02,0.16,2.37,3.47,0.65,7,0.29,0,0,1.51,0.16,3,0.12,0.08,0,0,25,1.02,24,16,0.25,2.33,42.11,1.64,42.5,0.65,43.75,0.61,0.57,42.86,1.76,44.19,0.82,0.57,0.25,29.6,0.33,0.65,44.2,84.37,16.68,75,5.52,99.26,15.91,87.92,36.8,91.44,5.19,52.76,19.28,36.08,0.28,2.04,0.2,0.08,0.2,20,0.33,7.61,70.43,2.58,50.79,0.49,25,0.29,1.06,7.4,83.43,0,,0,,0,0,0,0,,,0.49,,,2.54,0.08,50,4.78,1,100
T. Bakinson,Charlton Athletic,Charlton Athletic,LCMF,25,700000,2024-06-30,4,376,0,0.81,0,0.31,16.76,37.14,England,England,right,191,82,yes,6.7,4.31,66.67,3.35,42.86,0,0,0.24,3.83,4.85,0.96,1,0.24,0,0,0.96,0,0,0,0.19,0,0,7,1.68,28.57,0,0,0.96,0,0.72,0,0.24,0,0,2.63,18.18,6.22,11.54,0.96,2.15,0,25.13,0.72,0.48,37.82,78.48,16.28,67.65,4.31,100,11.49,85.42,31.36,85.5,5.51,52.17,20.27,35.05,0.07,0.72,0,0,0,0,0,8.38,68.57,3.11,46.15,0.48,50,1.2,0,8.62,75,0,,0,,0,0,0,0,,,0.96,,,0,0,0,0,0,0
J. Scowen,Wycombe Wanderers,Wycombe Wanderers,"RCMF, DMF",30,600000,2024-06-30,22,2135,1,0.87,2,2.37,19.9,51.91,England,England,right,178,74,no,11.85,8.05,63.35,3.41,46.91,0.51,0.67,0.3,6.24,8.24,1.26,6,0.25,1,0.04,1.43,0.04,1,0.04,0.04,0,0,15,0.63,6.67,6.667,0.08,1.85,34.09,0.17,50,1.56,27.03,0.38,1.35,53.13,4.38,37.5,0.51,0.67,0.46,20.91,0.55,1.35,38.23,75.74,14.54,56.81,6.15,94.52,11.47,85.66,29.93,84.51,6.58,47.44,19.65,35.28,0.1,0.55,0.08,0.04,0.13,33.33,0.34,7.17,57.06,2.7,42.19,1.1,26.92,0.59,0.55,7.63,67.4,0,,0,,0,0,0,0,,,1.39,,,0.17,0.04,0,0.04,0,0
L. Connell,Barnsley,Barnsley,DMF,22,600000,2027-06-30,10,770,0,0.31,0,0.42,12.51,57.94,England,"England, Republic of Ireland",left,181,69,no,8.3,4.91,64.29,1.99,82.35,0.58,0.76,0.35,4.56,5.91,1.05,4,0.47,0,0,1.17,0,0,0,0.04,0,0,10,1.17,20,0,0,0.58,60,0.47,50,0.12,100,0.23,0.82,57.14,2.69,56.52,0.12,0.82,0.23,31.09,0.23,0.82,45.82,80.1,16.36,62.86,6.55,100,16.6,86.62,37.52,87.23,7.83,47.76,20.55,36.94,0.05,0.47,0,0,0.23,50,0.23,10.52,61.11,1.87,50,1.05,33.33,0.82,0.23,9.12,71.79,0,,0,,0,0,0,0,,,0.47,,,0.47,0,0,1.4,0,0
J. Russell,Barnsley,Barnsley,"DMF, RCMF, LCMF",23,600000,2026-06-30,22,1553,2,1.93,0,0.18,14.2,44.9,England,"England, Jamaica",right,193,81,no,8.17,5.51,56.84,3.07,37.74,0.17,0.23,0.35,4.87,6.33,1.39,4,0.23,0,0,1.04,0.12,2,0.12,0.11,1,0.06,10,0.58,50,20,0,0.06,0,0,0,0.06,0,0.06,0.75,69.23,3.01,34.62,0.87,0.52,0.06,24.11,0.12,0.29,36.39,87.9,10.9,71.28,7.88,98.53,12.29,93.4,33.55,91.19,2.78,50,16.62,29.94,0.01,0.23,0,0,0.29,80,0.06,5.45,67.02,0.52,55.56,0.46,62.5,0.41,0,4.81,72.29,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0,0,0
