Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Mukairu,Reading,Reading,"LW, LAMF",24,1500000,2025-12-31,19,1072,2,1.91,0,0.77,29.47,43.02,Nigeria,Nigeria,right,182,78,yes,9.15,8.9,60.38,3.95,34.04,0.08,0.12,0,3.69,5.37,1.01,0,0,0,0,3.19,0.17,2,0.17,0.16,1,0.08,10,0.84,60,20,0,0.5,16.67,0.42,20,0,0,0.25,4.7,53.57,13.6,38.89,2.43,2.43,0.84,14.69,1.18,1.01,24.35,76.21,6.63,54.43,7.05,90.48,6.21,83.78,22.25,80.38,1.6,36.84,16.45,23.79,0.06,0.84,0.08,0,0.17,50,0.17,2.6,74.19,1.09,38.46,0.25,0,1.09,0.08,3.69,54.55,0,,0,,0,0,0,0,,,0,,,0,0,0,0.17,0,0
J. Murphy,Oxford United,Oxford United,LAMF,28,900000,2024-06-30,12,508,0,1.39,1,0.53,26.22,48.65,England,England,right,173,67,no,7.09,6.02,55.88,1.95,36.36,0,0,0,3.72,5.04,0.71,0,0,0,0,7.62,0,0,0,0.25,0,0,13,2.3,23.08,0,0.18,6.02,11.76,4.78,3.7,1.24,42.86,0.89,9.92,64.29,16.83,49.47,4.61,4.78,2.13,17.72,1.59,2.3,24.63,61.15,5.14,48.28,5.49,90.32,10.63,58.33,15.59,85.23,3.54,30,20.9,18.24,0.09,1.06,0,0,0.18,0,0.35,3.37,57.89,4.07,21.74,0.53,0,0.89,0.71,3.9,81.82,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Poku,Peterborough United,Peterborough United,"RAMF, AMF",22,900000,2025-06-30,25,2040,8,8.62,6,4.24,27.35,45.81,England,"England, Ghana",left,179,67,no,5.29,5.03,57.89,2.56,32.76,0,0,0.18,2.38,3.62,0.75,1,0.04,0,0,8.21,0.35,8,0.35,0.38,2,0.09,64,2.82,29.69,12.5,0.26,4.41,27,0.57,15.38,3.84,28.74,0.62,8.96,60.59,16.59,46.01,4.32,4.41,1.1,24.44,0.84,1.41,35.6,78.07,7.85,69.66,9.04,92.68,12.35,77.5,30.04,86.34,1.37,48.39,18.31,25.84,0.19,1.46,0.04,0.04,1.15,65.38,0.97,2.69,63.93,4.9,51.35,1.06,54.17,1.72,1.28,5.87,81.2,0,,0,,0,0,0,0,,,0.18,,,0,0,0,0.18,0,0
T. Barkhuizen,Derby County,Derby County,"LAMF, RAMF, RW",30,800000,2024-06-30,23,1333,4,4.93,6,4.47,14.79,45.21,England,"England, South Africa",right,179,72,no,3.58,3.04,51.11,2.57,31.58,0.14,0.22,0,1.89,3.15,0.41,1,0.07,0,0,5,0.27,4,0.27,0.33,0,0,27,1.82,40.74,14.815,0.41,4.19,38.71,1.76,46.15,2.36,34.29,0.68,4.05,61.67,6.75,49,3.58,2.16,0.88,18.23,1.01,0.34,25.59,72.82,5.4,62.5,5.54,93.9,9.52,69.5,20.73,80.78,0.81,33.33,17.82,12.51,0.3,1.69,0,0,0.2,66.67,1.08,1.69,76,3.24,52.08,0.07,0,0.81,1.76,5.06,80,0,,0,,0,0,0,0,,,0.14,,,0.07,0,0,0.41,0,0
J. Martin,Portsmouth,Portsmouth,"LAMF, RWB",22,700000,,5,170,0,0.12,0,0,19.59,51.35,England,"England, Republic of Ireland",right,177,70,no,6.88,6.35,75,1.59,33.33,0,0,0,2.12,3.33,0.53,0,0,0,0,4.76,0,0,0,0.07,0,0,3,1.59,33.33,0,0,2.12,50,1.59,33.33,0.53,100,0.53,6.88,46.15,10.59,40,2.12,4.24,1.06,19.06,1.59,1.06,23.82,88.89,6.35,75,4.24,100,10.06,94.74,20.12,94.74,2.12,75,18.67,28.66,0,0,0,0,0,0,0,2.65,100,1.06,100,0,0,0.53,0.53,3.71,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
G. Whyte,Portsmouth,Portsmouth,"RAMF, LAMF, AMF",27,500000,,21,1089,0,2.3,1,2.11,15.87,43.23,Northern Ireland,Northern Ireland,right,170,67,no,4.79,5.7,49.28,1.4,35.29,0.33,0.58,0.08,1.65,2.88,0.66,2,0.17,0,0,3.72,0,0,0,0.19,0,0,17,1.4,35.29,0,0.08,3.22,38.46,0.41,40,2.81,38.24,1.07,3.64,52.27,6.94,40.48,2.48,1.65,0.5,18.43,1.32,0.91,24.3,78.57,4.38,58.49,7.36,98.88,7.36,70.79,19.5,87.71,1.82,54.55,18.33,25.37,0.17,0.91,0.08,0.08,0.33,25,0.66,1.4,52.94,2.89,40,0.17,0,0.66,1.07,3.22,71.79,0,,0,,0,0,0,0,,,0.25,,,0,0,0,0,0,0
L. Thomas,Bristol Rovers,Bristol Rovers,"RW, RWB, RWF",24,500000,,23,1975,4,2.59,1,2.35,21.46,47.35,England,England,left,171,67,no,7.52,6.93,63.82,1.05,8.7,0.09,0.13,0,3.01,4.26,0.77,2,0.09,0,0,3.28,0.18,4,0.18,0.12,0,0,22,1,31.82,18.182,0.05,2.19,29.17,0.41,22.22,1.78,30.77,0.46,4.15,52.75,10.25,44.89,2.92,2.69,1,21.78,1.96,1.78,30.26,78.01,6.88,68.87,7.43,93.87,9.66,75.47,26.29,83.88,1.87,53.66,17.15,28.9,0.11,1.14,0.09,0.05,0.59,23.08,0.64,2.64,70.69,2.73,46.67,0.77,23.53,1.18,0.55,4.65,70.59,0,,0,,0,0,0,0,,,0.23,,,0.05,0,0,0.55,0,0
K. Edwards,Oxford United,Oxford United,"LAMF, LWB",25,400000,2024-06-30,5,250,1,0.08,1,0.36,19.08,41.51,England,England,right,172,64,yes,3.24,2.16,33.33,4.32,33.33,0,0,0,2.52,3.13,0.72,0,0,0,0,6.84,0.36,1,0.36,0.03,0,0,3,1.08,33.33,33.333,0.36,3.96,36.36,3.96,36.36,0,0,0.72,7.2,70,10.8,53.33,0.72,2.88,1.44,14.76,1.8,1.08,23.76,75.76,5.04,64.29,6.84,94.74,7.92,77.27,19.08,84.91,0.72,50,17.69,8.59,0.13,1.08,0,0,0,0,1.44,1.08,66.67,3.96,36.36,0,0,1.08,1.8,3.6,60,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Baah,Burton Albion,Burton Albion,"RW, LW, RWF",20,400000,2026-06-30,20,1315,2,0.72,1,1.97,31.14,40.66,Germany,"Germany, England",right,182,75,yes,7.12,6.84,64,4.04,38.98,0.62,0.73,0.14,2.12,2.52,1.64,5,0.34,0,0,5.27,0.14,2,0.14,0.05,0,0,12,0.82,50,16.667,0.07,2.4,20,0.34,40,2.05,16.67,0.34,9.1,47.37,16.56,35.95,1.78,3.76,0.68,10.13,1.57,1.1,17.04,70.28,3.63,52.83,4.17,93.44,4.72,69.57,14.03,80.49,0.75,27.27,19.37,16.85,0.13,0.62,0,0,0.27,25,0.27,0.82,66.67,1.85,29.63,0.21,33.33,0.55,0.68,2.19,56.25,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
C. Kirk,,Charlton Athletic,"RW, LAMF",26,400000,,4,54,0,0,0,0,11.67,28.57,England,England,right,185,70,no,5,3.33,50,0,0,0,0,0,3.33,4.62,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,3.33,50,1.67,100,1.67,0,1.67,3.33,50,8.33,20,0,0,0,16.67,1.67,0,26.67,68.75,6.67,25,5,100,10,83.33,20,75,3.33,50,18.02,9.28,0,0,0,0,0,0,0,0,0,5,66.67,0,0,1.67,1.67,6.67,75,0,,0,,0,0,0,0,,,0,,,0,0,0,1.67,0,0
