Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Mudryk,Chelsea,Chelsea,"LAMF, LW, LWF",23,60000000,2031-06-30,17,912,3,2.38,0,1.64,20.23,45.85,Ukraine,Ukraine,right,175,61,no,5.13,5.63,57.89,1.48,46.67,0.59,0.91,0,1.28,1.97,1.38,3,0.3,0,0,4.44,0.3,3,0.3,0.23,0,0,16,1.58,25,18.75,0,2.57,15.38,2.07,19.05,0.49,0,0.2,5.92,56.67,10.95,39.64,3.85,5.03,1.78,20.13,1.88,1.28,24.57,73.49,5.43,69.09,6.22,88.89,7.3,66.22,21.12,80.84,0.99,70,15.27,9.84,0.16,1.18,0,0,0.79,37.5,0.59,1.68,58.82,2.86,48.28,0.89,33.33,1.78,0.49,3.55,77.78,0,,0,,0,0,0,0,,,0,,,0.3,0,0,2.47,0,0
D. Kulusevski,Tottenham Hotspur,Tottenham Hotspur,"RAMF, AMF",23,55000000,2024-06-30,19,1893,5,3.61,2,4.45,23.63,42.25,Sweden,"Sweden, North Macedonia",left,186,75,no,5.42,6.89,51.72,0.48,20,0.14,0.24,0.05,1.71,2.83,1.57,5,0.24,0,0,5.9,0.24,5,0.24,0.17,1,0.05,34,1.62,41.18,14.706,0.1,2.85,45,0.57,58.33,2.23,40.43,0.33,6.56,56.52,13.22,40.29,5.75,3.61,1.47,24.29,1.43,0.81,32.61,81.49,6.94,69.86,9.03,93.16,8.56,81.67,29.14,85.15,0.62,76.92,15.42,22.27,0.21,1.81,0.05,0,0.81,29.41,1.28,1.81,73.68,3.38,73.24,0.81,29.41,2.47,1.33,4.94,75,0,,0,,0,0,0,0,,,0.05,,,0.05,0.05,0,0.52,0,0
Diogo Jota,Liverpool,Liverpool,"LWF, CF",27,55000000,2027-06-30,15,842,7,5.09,2,1.25,22.77,41.78,Portugal,Portugal,right,178,73,no,6.09,6.73,53.97,4.49,35.71,0.11,0.18,0.11,2.35,3.88,1.82,2,0.21,1,0.11,3.63,0.75,7,0.75,0.54,0,0,25,2.67,44,28,0.21,0.86,25,0.53,20,0.32,33.33,0,4.28,42.5,8.44,37.97,6.95,3.31,1.5,21.27,1.82,1.82,25.65,80,6.52,70.49,7.16,89.55,5.99,83.93,24.37,82.02,0.53,80,14.29,12.45,0.13,1.18,0.21,0.21,0.96,44.44,0.53,2.14,70,1.71,56.25,0.75,42.86,1.6,0.11,3.21,76.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Lucas Paquetà,West Ham United,West Ham United,"LAMF, AMF, LW",26,45000000,2027-06-30,18,1647,2,2.76,3,2.88,29.02,45.39,Brazil,"Brazil, Portugal",left,180,72,no,8.14,8.25,62.91,3.72,44.12,0.16,0.17,0,2.79,2.97,1.48,6,0.33,0,0,2.95,0.11,1,0.05,0.15,0,0,19,1.04,26.32,10.526,0.16,1.04,42.11,0.93,41.18,0.11,50,0.05,2.73,62,13.11,37.08,1.58,0.87,0.44,29.73,0.98,2.08,43.66,78.97,16.28,69.13,7.81,89.51,10.98,82.09,37.76,82.92,4.92,55.56,17.25,32.84,0.16,1.37,0,0.05,1.42,38.46,0.93,7.16,66.41,3.22,54.24,2.51,36.96,1.86,0.44,8.47,76.77,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,1,100
Matheus Nunes,Manchester City,Manchester City,"LW, RDMF, LCMF",25,45000000,2027-06-30,10,548,0,0.24,1,0.34,21.35,47.69,Brazil,"Brazil, Portugal",right,183,78,no,6.9,5.91,66.67,1.81,36.36,0.49,0.72,0.16,2.46,3.6,0.49,1,0.16,1,0.16,2.3,0,0,0,0.04,0,0,2,0.33,50,0,0.16,1.31,50,0.16,0,1.15,57.14,0.16,3.12,47.37,10.68,40,2.96,1.64,1.31,37.61,0.99,1.81,45.33,88.04,10.18,80.65,12.48,89.47,13.14,93.75,42.86,90.42,1.15,42.86,13.98,19.16,0.06,0.66,0.16,0,0.33,0,0.33,3.78,82.61,1.81,54.55,0.33,0,1.15,0.82,3.94,66.67,0,,0,,0,0,0,0,,,0.33,,,0.33,0,0,0.49,0,0
A. Gordon,Newcastle United,Newcastle United,"LWF, LW, RWF",22,40000000,2025-06-30,20,1868,7,6.32,5,3.51,19.46,50.5,England,England,right,183,72,no,5.25,6.12,55.12,1.01,38.1,0.14,0.2,0.05,1.73,2.41,0.87,7,0.34,0,0,5.01,0.34,7,0.34,0.3,0,0,42,2.02,38.1,16.667,0.24,2.17,33.33,1.49,35.48,0.67,28.57,0.53,5.4,60.71,9.68,50.75,3.28,3.18,1.35,20.14,1.25,1.69,25.29,82.1,4.77,74.75,6.22,96.12,9.06,76.06,22.26,87.23,0.92,68.42,17.19,27.91,0.17,1.01,0.05,0.1,0.58,41.67,0.58,1.73,72.22,2.65,58.18,0.53,36.36,1.35,0.67,3.47,79.17,0,,0,,0,0,0,0,,,0.14,,,0.14,0.05,0,0.43,0,0
M. Almirón,Newcastle United,Newcastle United,"RWF, RW",29,35000000,2026-06-30,21,1585,3,4.24,1,0.77,15.79,46.76,Paraguay,Paraguay,left,174,70,no,6.42,5.51,63.92,0.79,28.57,0.4,0.56,0.06,2.5,3.55,0.62,1,0.06,0,0,2.78,0.17,3,0.17,0.24,0,0,31,1.76,29.03,9.677,0.06,1.14,20,0.23,25,0.91,18.75,0.28,3.29,60.34,7.44,37.4,3.46,2.95,1.76,26.35,1.76,0.97,33.62,85.47,8.35,76.87,8.91,94.9,9.99,84.09,31.63,88.87,0.97,41.18,14.37,18.95,0.04,0.45,0.06,0,0.28,20,0.11,2.16,81.58,1.87,54.55,0.28,20,0.85,0.28,3.24,80.7,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0,0,0
H. Barnes,Newcastle United,Newcastle United,"LWF, LW",25,32000000,2025-06-30,6,220,1,0.35,1,0.71,17.18,50,England,"England, Scotland",right,182,0,no,1.23,3.27,25,1.64,50,0,0,0,0.41,0.58,0.41,1,0.41,0,0,4.09,0.41,1,0.41,0.14,0,0,6,2.45,33.33,16.667,0.41,2.86,14.29,2.86,14.29,0,0,0.41,4.5,63.64,9.41,60.87,5.32,4.5,2.45,20.86,0.82,2.86,28.23,76.81,4.5,54.55,10.64,88.46,6.55,68.75,24.95,85.25,0.41,0,16.2,3.53,0.29,0.82,0,0,0,0,0.82,1.23,66.67,1.64,75,0,0,1.23,0.41,2.86,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Pedro Neto,Wolverhampton Wanderers,Wolverhampton Wanderers,"RW, LW, RWF",23,32000000,2027-06-30,12,1115,1,2.02,7,3.11,17.35,42.79,Portugal,Portugal,left,172,62,no,2.83,2.83,57.14,0.81,10,0,0,0.16,1.21,1.44,0.73,3,0.24,0,0,5.25,0.08,1,0.08,0.16,0,0,20,1.61,35,5,0.57,4.04,36,1.53,47.37,2.5,29.03,0.32,6.05,52,12.27,43.42,3.87,4.04,2.26,22.44,2.02,1.05,28.57,79.1,4.6,64.91,8.64,91.59,9.12,72.57,23.33,88.24,1.53,52.63,16.86,32.05,0.25,1.7,0,0.08,0.16,50,0.81,1.13,64.29,3.79,48.94,0.4,40,1.53,1.13,3.63,68.89,0,,0,,0,0,0,0,,,0.08,,,1.21,0.08,0,2.02,0,0
J. Ramsey,Aston Villa,Aston Villa,"LW, LAMF, LCMF",22,32000000,2027-06-30,10,568,1,1.61,0,0.56,18.38,48.28,England,England,right,180,72,no,6.18,4.91,74.19,1.58,60,0.32,0.57,0.16,2.22,4,0.63,2,0.32,0,0,3.96,0.16,1,0.16,0.26,0,0,8,1.27,37.5,12.5,0,1.9,16.67,1.74,18.18,0.16,0,0,5.07,56.25,8.71,41.82,3.8,2.22,0.48,19.81,0.63,1.27,24.88,79.62,5.39,64.71,7.13,97.78,8.4,83.02,22.66,85.31,0.32,50,16.22,6.23,0.09,0.95,0.16,0,0.63,50,0.32,2.22,85.71,1.27,62.5,0.48,33.33,1.11,0.32,3.33,57.14,0,,0,,0,0,0,0,,,0.48,,,0,0,0,1.58,0,0
